YPL172C
YJR075W
YDL244W
YOR311C
tY_GUA_Q
YNL302C
YNL185C
YLR028C
YML063W
YPR173C
YGR129W
YBR026C
YDR410C
YDR228C
YEL022W
YJL130C
YJL050W
YER147C
tL_UAA_Q
YJR068W
tL_CAA_G1
YGR264C
YCL047C
YLR209C
YOR341W
YMR284W
YMR202W
YJL062W
YJR006W
YBR079C
YGR003W
YEL015W
YLR382C
YDR477W
YLR295C
YHR026W
YPL097W
YML105C
YDR118W
YDL083C
tL_CAA_D
YDR217C
YPR080W
YCL009C
tK_UUU_L
YGR199W
YDR297W
YDR287W
YPR118W
YDR261C
YBR035C
snR17b
tY_GUA_D
YPR002W
YML114C
YNR024W
YDR427W
YCR031C
YGL256W
YDR369C
YLR448W
YPL143W
YMR239C
YFR031C-A
YIL109C
YFL033C
YBR170C
YDR044W
YDL192W
YDL155W
YMR217W
YEL002C
tG_GCC_E
YPL079W
YNL130C
YKL058W
YOR155C
YDL166C
YNR030W
YOL021C
YGL067W
YDL132W
YLR129W
YOR179C
YDR009W
YNL221C
YDR305C
tE_UUC_G3
YPL078C
YHL003C
YDR428C
YJR094C
YLR027C
YLR337C
YGR267C
YNR057C
YJR066W
YPL152W
YLR180W
YLR340W
YHR164C
YJR016C
YER087W
YDL064W
tW_CCA_P
tT_AGU_D
YKL026C
YIL155C
tA_UGC_G
YNL329C
Q0275
YGL008C
YGR007W
YKL010C
YGR233C
YER133W
YLR103C
tL_CAA_L
YNL075W
YNL081C
tS_UGA_P
YMR083W
YLR438C-A
YFR047C
tL_UAG_L2
YGR014W
YJL046W
YIL139C
YOL040C
YNL129W
YDR256C
YDR447C
YDR171W
YFL039C
tQ_UUG_B
YLR371W
YOR069W
YJL039C
YFL017C
YNL229C
YHR012W
YNL048W
tA_AGC_M2
YMR235C
YLR264W
YMR227C
tR_CCU_J
YDL137W
YDR529C
YNL072W
YNR058W
YFR019W
YPR016C
YER015W
YLR265C
YLR395C
YDR339C
YLR022C
YDR400W
tR_UCU_B
YIL106W
tS_AGA_L
YDR144C
YDR315C
YNL038W
YEL024W
YCL024W
YDL102W
YKL186C
YOL027C
YBR084W
YNR003C
YLR423C
YPR006C
YDR388W
YOR369C
YKL067W
YGR194C
YNL104C
YHR201C
YMR121C
YDR530C
YKL203C
YBR145W
YNL118C
tF_GAA_D
YBL080C
YMR199W
YPR060C
YER144C
YER005W
YOR260W
YER073W
YHR018C
tP_UGG_A
YPR082C
YIL015W
YLL045C
YGR091W
YPR033C
