Entry	Gene names  (primary )	Cross-reference (FlyBase)
Q9VIM5	Arpc2	FBgn0032859;
P15372	Arr1	FBgn0000120;
Q9V831	APC10	FBgn0034231;
Q9VTU1	Atg12	FBgn0036255;
P40945	Arf102F	FBgn0013749;
O76924	ari-2	FBgn0025186;
Q9XZ63	Manf	FBgn0027095;
Q6J5K9	armi	FBgn0041164;
P61209	Arf79F	FBgn0010348;
P19107	Arr2	FBgn0000121;
Q9V464	asf1	FBgn0029094;
Q9VW15	ash1	FBgn0005386;
Q7JWD3		FBgn0033191;
P10084	sc	FBgn0004170;
P12426	Aprt	FBgn0000109;
P25160	Arl1	FBgn0000115;
Q06849	Arl2	FBgn0004908;
O15945	tgo	FBgn0264075;
P32392	Arp3	FBgn0262716;
Q9V727	Asx	FBgn0261823;
Q94516	ATPsynB	FBgn0019644;
Q9W5X9		FBgn0031082;
P22700	Ca-P60A	FBgn0263006;
O96539	Ate1	FBgn0025720;
Q9XZS8	Atf3	FBgn0028550;
P18824	arm	FBgn0000117;
Q5LJP9		FBgn0032997;
Q8MR45		FBgn0033431;
Q9W2C3		FBgn0034665;
Q9VRJ8		FBgn0035592;
Q86P48	ATbp	FBgn0039946;
P09774	l(1)sc	FBgn0002561;
Q9VEX5	Asun	FBgn0020407;
Q9VSY4		FBgn0035989;
P45888	Arp2	FBgn0011742;
P45890	Arp6	FBgn0011741;
Q9VX09	Arp8	FBgn0030877;
Q9VXT7		FBgn0030653;
Q5EAK6	tefu	FBgn0045035;
P13607	Atpalpha	FBgn0002921;
Q24407	ATPsynCf6	FBgn0016119;
Q9VC45	asp	FBgn0000140;
O97069		FBgn0026565;
P09775	ase	FBgn0000137;
P84345	mt:ATPase8	FBgn0013673;
Q24046	nrv1	FBgn0015776;
Q94545	ash2	FBgn0000139;
P10083	ac	FBgn0000022;
Q9VPW1	ast	FBgn0015905;
Q8SWX0	arx	FBgn0036826;
P48987	ato	FBgn0010433;
Q94546	Atu	FBgn0019637;
Q9V407	Axn	FBgn0026597;
Q9W3R7	Atg5	FBgn0029943;
Q9VC57	atl	FBgn0039213;
Q24251	ATPsynD	FBgn0016120;
P35381	blw	FBgn0011211;
Q24439	ATPsynO	FBgn0016691;
Q8ML92	ave	FBgn0050476;
Q9VHR6	Atg13	FBgn0261108;
P00850	mt:ATPase6	FBgn0013672;
Q9W141		FBgn0035032;
Q9GQN5	XNP	FBgn0039338;
P45884	AttA	FBgn0012042;
Q8SWR8	Atx2	FBgn0041188;
O97422	GlcAT-I	FBgn0066114;
Q9VLU0	baf	FBgn0031977;
Q9VYG2	Bap60	FBgn0025463;
Q9VFR0		FBgn0038183;
Q9U4G1	bdl	FBgn0028482;
Q24048	nrv2	FBgn0015777;
Q9W1I2	bgcn	FBgn0004581;
Q05825	ATPsynbeta	FBgn0010217;
Q9VTG7	GlcAT-P	FBgn0036144;
Q9W0K4	bab2	FBgn0025525;
P22745	bam	FBgn0000158;
Q24255	B-H1	FBgn0011758;
Q8SY41	rudhira	FBgn0266019;
Q9NHA8	GNBP3	FBgn0040321;
Q9V3U0		FBgn0028519;
Q9V751	AttB	FBgn0041581;
Q8IRC7	Awh	FBgn0013751;
Q961D9	lgs	FBgn0039907;
Q24040	Bgb	FBgn0013753;
P23645	bib	FBgn0000180;
Q8SWR2		FBgn0052137;
O01666	ATPsyngamma	FBgn0020235;
Q9VVN4	mus304	FBgn0002901;
Q9VXG8	mei-41	FBgn0004367;
P09081	bcd	FBgn0000166;
Q0KI28	Muted	FBgn0083967;
Q9VNH1		FBgn0037368;
Q709R6	bocks	FBgn0037719;
Q9VNP5	BoYb	FBgn0037205;
Q95NH6	AttC	FBgn0041579;
O76922	aub	FBgn0000146;
Q9VKN7	ial	FBgn0024227;
Q9W0K7	bab1	FBgn0004870;
Q9VVR4	GNBP2	FBgn0040322;
Q24157	brn	FBgn0000221;
Q9VVR9	Cyp12c1	FBgn0036806;
Q9VLA1	GlcAT-S	FBgn0032135;
P22809	bap	FBgn0004862;
Q24256	B-H2	FBgn0004854;
M9NDE3	bark	FBgn0031571;
Q9VCE1	Atg6	FBgn0264325;
Q9V3S9	bgm	FBgn0027348;
Q9VSH3	BI-1	FBgn0035871;
Q24009	BicC	FBgn0000182;
Q9W138		FBgn0035035;
Q7K480	bin3	FBgn0263144;
Q9VQU9	bowl	FBgn0004893;
Q01295	br	FBgn0283451;
Q9W157	Brca2	FBgn0050169;
P11929	Bsg25D	FBgn0000228;
Q9VYT8	Cyp28c1	FBgn0030339;
Q9VMS7	Cyp4ac3	FBgn0031695;
Q9V4U9	Cyp6a13	FBgn0033304;
Q9V773	Cyp6a20	FBgn0033980;
A1Z8E9	BBS4	FBgn0033578;
O46098	bcn92	FBgn0013432;
P29746	bnb	FBgn0001090;
Q9VZA4		FBgn0260657;
P12428	bw	FBgn0000241;
O96553	pug	FBgn0020385;
Q9VKJ9	l(2)gd1	FBgn0261983;
Q9VMS9	Cyp4ac1	FBgn0031693;
Q9W011	Cyp4d20	FBgn0035344;
Q23997		FBgn0013763;
Q9V770	Cyp6a17	FBgn0015714;
Q03017	cact	FBgn0000250;
Q9VGG5	Cad87A	FBgn0037963;
Q9NHB0	GNBP1	FBgn0040323;
Q9VTE0	Blos2	FBgn0036118;
A8JNV4	Blos3	FBgn0085284;
Q9VTC2	Blos4	FBgn0036105;
Q9VTM0	Pallidin	FBgn0036192;
Q9VGI8	Blm	FBgn0002906;
Q9VZD2		FBgn0035537;
Q24207	bol	FBgn0011206;
Q9VIL0	bru	FBgn0261787;
Q04787	bsh	FBgn0000529;
Q9VYB0	BthD	FBgn0030501;
Q24523	bun	FBgn0259176;
Q9VD83	Burs	FBgn0038901;
P51406	bys	FBgn0010292;
Q9VE01	Cyp12a5	FBgn0038680;
Q9VGZ0	Cyp12e1	FBgn0037817;
Q9V419	Cyp28a5	FBgn0028940;
O46054	Cyp4ae1	FBgn0015036;
Q9VLZ7	Cyp4d21	FBgn0031925;
Q9VFJ0	Cyp313a1	FBgn0038236;
P91645	cac	FBgn0263111;
P48451	CanB	FBgn0010014;
Q9I7D3	Capr	FBgn0042134;
P16568	BicD	FBgn0000183;
A1Z9S1	Blos1	FBgn0050077;
Q8MQJ9	brat	FBgn0010300;
Q24039	Bro	FBgn0013755;
Q9VZE6		FBgn0035524;
Q9V3X4	Seipin	FBgn0040336;
Q24522	bun	FBgn0259176;
Q9VYD1	Set2	FBgn0030486;
Q9VMT6	Cyp28d2	FBgn0031688;
Q9V7G5	Cyp4aa1	FBgn0034053;
Q9VYY4	Cyp4g15	FBgn0030304;
Q9VB31	Cyp6a18	FBgn0039519;
Q24214	CanB2	FBgn0015614;
Q9VXH6	CalpC	FBgn0260450;
Q9NHE5	Cadps	FBgn0053653;
P48603	cpb	FBgn0011570;
P40794	bnk	FBgn0004389;
Q7K0Y1		FBgn0028744;
Q9VVR2	bora	FBgn0259791;
Q9VLD6	borr	FBgn0032105;
P22815	boss	FBgn0000206;
Q24206	br	FBgn0283451;
Q24266	btd	FBgn0000233;
P08630	Btk29A	FBgn0003502;
P39736	Bx42	FBgn0004856;
Q9V8M2	Cyp12b2	FBgn0034387;
Q9VMT5	Cyp28d1	FBgn0031689;
Q7KT91		FBgn0028916;
Q9V4T3	Cyp4ad1	FBgn0033292;
O46051	Cyp4d14	FBgn0023541;
Q24270	Ca-alpha1D	FBgn0001991;
P09085	cad	FBgn0000251;
P29413	Crc	FBgn0005585;
P27398	sol	FBgn0003464;
Q8SXX4		FBgn0261555;
Q9VRP9	Bre1	FBgn0086694;
P25439	brm	FBgn0000212;
A1Z8J0		FBgn0033615;
Q7K237	C1GalTA	FBgn0032078;
O77086	C3G	FBgn0259228;
Q9VNE7	Spec2	FBgn0044823;
Q9V4U7	Cyp6a14	FBgn0033302;
Q9V769	Cyp6a22	FBgn0013773;
Q9VGW1	Cad86C	FBgn0261053;
Q9VEU1	Cad89D	FBgn0038439;
Q9VBW3	Cad96Ca	FBgn0022800;
Q24298	shg	FBgn0003391;
O15943	CadN	FBgn0015609;
P62152	Cam	FBgn0000253;
Q9VKY2	Cand1	FBgn0027568;
Q8ITC7	CapaR	FBgn0037100;
Q24120	capu	FBgn0000256;
Q9VIK2	CarT	FBgn0032879;
Q95029	Cp1	FBgn0013770;
Q9VL86		FBgn0032144;
P42787	svr	FBgn0004648;
Q7K0F0		FBgn0034402;
P55965	byn	FBgn0011723;
Q9W056		FBgn0035300;
Q9VE00	Cyp12a4	FBgn0038681;
Q9VXT5		FBgn0030655;
Q9VMS8	Cyp4ac2	FBgn0031694;
P82711	Cyp6a19	FBgn0033979;
Q9V771	Cyp6a23	FBgn0033978;
Q24572	Caf1	FBgn0263979;
Q9VT65	CalpB	FBgn0025866;
Q7M3M8	cas	FBgn0004878;
Q9VLT8	CCDC53	FBgn0031979;
Q4V4I9	CCHa1	FBgn0038199;
Q9V5L3	Cyp49a1	FBgn0033524;
Q9V774	Cyp6a21	FBgn0033981;
Q5BI42		FBgn0034498;
P49258	Acam	FBgn0011273;
Q7K5N4	calypso	FBgn0262166;
O02002	Dcp-1	FBgn0010501;
Q8IRY7	Dredd	FBgn0020381;
P17336	Cat	FBgn0000261;
P54269	caup	FBgn0015919;
P82712	Cyp12d1-p	FBgn0050489;
A1ZAX0	CCHa1-R	FBgn0050106;
P14785	CycA	FBgn0000404;
P41044	Cbp53E	FBgn0004580;
P45594	tsr	FBgn0011726;
Q9VJB6	CadN2	FBgn0262018;
Q11002	CalpA	FBgn0012051;
Q9W2N0	cpa	FBgn0034577;
Q9VR99	cactin	FBgn0031114;
Q27294	caz	FBgn0011571;
P25008	CycC	FBgn0004597;
Q9I7X6		FBgn0023522;
Q95RV2	cav	FBgn0026257;
Q868T3	CCAP-R	FBgn0039396;
O76879	anon-3B1.2	FBgn0000092;
Q8SXL2	CCHa2	FBgn0038147;
Q9VIS1	CdGAPr	FBgn0032821;
Q9VP22	Cdk12	FBgn0037093;
Q9VT57	Cdk8	FBgn0015618;
P14956	CecB	FBgn0000278;
Q9VH48	Art4	FBgn0037770;
Q7KR10	Cyp12d1-d	FBgn0053503;
Q9VVB4		FBgn0036671;
Q4V622	CCHa2-R	FBgn0033058;
O96433	CycT	FBgn0025455;
Q24276	Cdc37	FBgn0011573;
P40793	Cdc42	FBgn0010341;
Q7K4W1		FBgn0034214;
P14954	CecA1; CecA2	FBgn0000276;FBgn0000277;
Q9VCW0	CCAP	FBgn0039007;
Q7KW14		FBgn0023531;
Q9VKV5	holn1	FBgn0032250;
P48609	Cdk5	FBgn0013762;
Q8MMC4		FBgn0022343;
Q02637	slbo	FBgn0005638;
Q9VKV8	Bug22	FBgn0032248;
P07184	Cp18	FBgn0000357;
Q9VMN5	Hsp60C	FBgn0031728;
Q9VM65		FBgn0031871;
Q9I7I0	CycB3	FBgn0015625;
P56079	CdsA	FBgn0010350;
Q9NGC3	CenG1A	FBgn0028509;
P20385	Cf2	FBgn0000286;
P07185	Cp15	FBgn0000355;
P07183	Cp38	FBgn0000360;
O02649	Hsp60	FBgn0015245;
P54733	CycE	FBgn0010382;
Q7JUY7	ced-6	FBgn0029092;
Q9VFH6		FBgn0038248;
P07182	Cp36	FBgn0000359;
Q9VPS5	Hsp60B	FBgn0011244;
O97159	Mi-2	FBgn0262519;
O61661	grp	FBgn0261278;
Q7YU81	chn	FBgn0015371;
P20439	CycB	FBgn0000405;
P22977	Cp16	FBgn0000356;
Q7KU24	Chd1	FBgn0250786;
Q9W5U2	Cht3	FBgn0250907;
P23572	Cdk1	FBgn0004106;
P23573	Cdk2	FBgn0004107;
O16829	CecC	FBgn0000279;
Q7JVA5	Cep89	FBgn0266708;
P16241	vvl	FBgn0086680;
Q9W092	Cht2	FBgn0022702;
Q9VGZ1		FBgn0037816;
Q24152	Cks30A	FBgn0010314;
P07668	Cha	FBgn0000303;
Q9VGH7	ClC-a	FBgn0051116;
P29742	Chc	FBgn0000319;
Q9VHN3		FBgn0037611;
P07186	Cp19	FBgn0000358;
Q9NK54	chif	FBgn0000307;
Q7K1Y4	Ciao1	FBgn0033972;
Q9U1H0	cic	FBgn0262582;
Q9VAM6	Cisd2	FBgn0062442;
P19538	ci	FBgn0004859;
Q9VJE5	CLIP-190	FBgn0020503;
Q9NBD7	chb	FBgn0021760;
A1ZAB5	clu	FBgn0034087;
Q9VVI9	Vps60	FBgn0036740;
Q9VCC0	CHORD	FBgn0029503;
Q9VAI1	CIA30	FBgn0039689;
Q9V6Q2	cid	FBgn0040477;
Q9W401	kdn	FBgn0261955;
O61735	Clk	FBgn0023076;
P54623	cnn	FBgn0013765;
P12024	chp	FBgn0267435;
O16102	Chd3	FBgn0023395;
Q9VTI8	chrb	FBgn0036165;
Q9VA73	aralar1	FBgn0028646;
P20482	cnc	FBgn0262975;
Q8IRB5	Claspin	FBgn0052251;
P0DKM0	Ccdc56	FBgn0261353;
B7Z0K8		FBgn0259244;
P39205	cin	FBgn0000316;
Q95SK3		FBgn0050291;
Q9VGC3		FBgn0037998;
Q9VAD6	Cog7	FBgn0051040;
P45437	betaCOP	FBgn0008635;
Q9VYF8	Coq5	FBgn0030460;
Q9VWA1	Clc	FBgn0024814;
Q7K284	cbc	FBgn0033842;
Q24278	CngA	FBgn0261612;
Q9VQG4	colt	FBgn0019830;
Q9VMQ5	Coq6	FBgn0031713;
Q9VHS2	COX7A	FBgn0040529;
Q9W5N0		FBgn0039965;
Q95TN4		FBgn0032258;
Q24139	comm	FBgn0010105;
O62621	beta'COP	FBgn0025724;
Q9VGB5	Cyp313a5	FBgn0038005;
Q9VHP4	Cyp313b1	FBgn0037601;
Q9VGH1	sad	FBgn0003312;
Q9V675	Cyp6g2	FBgn0033696;
Q9VRB3	Cyp6v1	FBgn0031126;
Q9VPT8	Clp	FBgn0015621;
Q9UAS6	cmtr2	FBgn0026309;
Q9VRG7	Dd	FBgn0029067;
P49858	cni	FBgn0000339;
Q9V3G6	Not10	FBgn0260444;
P08120	Cg25C	FBgn0000299;
Q961G1	Cog3	FBgn0031536;
Q9VJD3	fws	FBgn0024689;
A1Z7A8	coil	FBgn0033265;
Q26377	Crz	FBgn0013767;
Q9VGB3	Cyp313a3	FBgn0038007;
Q95078	Cyp18a1	FBgn0010383;
Q9NGX9	dib	FBgn0000449;
Q9VWR5	phm	FBgn0004959;
Q9VJ71	Cyp310a1	FBgn0032693;
Q9VS78	Cyp316a1	FBgn0035790;
Q9V3S0	Cyp4g1	FBgn0010019;
