Gene Symbol and Synonyms,UniProt Accession
BT_4107,Q8A0B4
BT_1431,Q8A7U3
BT_2145,Q8A5U3
BT_2664,Q8A4D5
BT_3801,Q8A166
BT_3358,Q8A2E7
BT_1525,Q8A7J9
BT_2154,Q8A5T4
BT_0424,Q8AAP0
BT_2019,Q8A667
BT_1079,Q8A8T8
BT_3231,Q8A2S4
BT_2014,Q8A672
BT_1607,Q8A7B8
BT_3971,Q8A0Q0
BT_3767,Q8A199
BT_0548,Q8AAB7
BT_0132,Q8ABH8
BT_1325,Q8A849
BT_1444,Q8A7T0
BT_0129,Q8ABI1
BT_t04,-
BT_2731,Q8A472
BT_4058,Q8A0G3
BT_4258,Q89ZW3
BT_1971,Q8A6B4
BT_3293,Q8A2L2
BT_1555,Q8A7G9
BT_4350,Q89ZM7
BT_1698,Q8A727
BT_3034,Q8A3C0
BT_4417,Q89ZG0
BT_1859,Q8A6L8
BT_0258,Q8AB53
BT_t53,-
BT_4394,Q89ZI3
BT_2413,Q8A531
BT_1548,Q8A7H6
BT_4060,Q8A0G1
BT_0676,Q8A9Y9
BT_3759,Q8A1A7
BT_t66,-
BT_1516,Q8A7K8
BT_4594,Q89YY6
BT_1765,Q8A6W1
BT_2969,Q8A3I5
BT_0825,Q8A9J0
BT_3452,Q8A254
BT_1059,Q8A8V8
BT_t24,-
BT_1952,Q8A6D2
BT_0411,Q8AAQ3
BT_0648,Q8AA17
BT_3722,Q8A1E4
BT_1207,Q8A8G0
BT_2804,Q8A400
BT_0532,Q8AAD3
BT_0133,Q8ABH7
BT_4011,Q8A0L0
BT_2062,Q8A624
BT_4387,Q89ZJ0
BT_0875,Q8A9E0
BT_3253,Q8A2Q2
BT_0715,Q8A9V0
BT_0607,Q8AA58
BT_4310,Q89ZR6
BT_r07,-
BT_0330,Q8AAY2
BT_3080,Q8A375
BT_1295,Q8A879
BT_3956,Q8A0R5
BT_3393,Q8A2B2
BT_3419,Q8A287
BT_4209,Q8A012
BT_2086,Q8A600
BT_2814,Q8A3Z0
BT_3728,Q8A1D8
BT_4241,Q89ZY0
BT_0895,Q8A9C0
BT_4211,Q8A010
BT_t59,-
BT_2786,Q8A418
BT_3923,Q8A0U8
BT_4488,Q89Z89
BT_0304,Q8AB08
BT_1259,Q8A8A8
BT_1351,Q8A823
BT_2099,Q8A5Y7
BT_2760,Q8A443
BT_4313,Q89ZR3
BT_1290,Q8A884
BT_4059,Q8A0G2
BT_2527,Q8A4S0
BT_1751,Q8A6X4
BT_r03,-
BT_4474,Q89ZA3
BT_4192,Q8A029
BT_4308,Q89ZR8
BT_1378,Q8A7Z6
BT_2690,Q8A4B3
BT_3128,Q8A327
BT_2440,Q8A507
BT_2186,Q8A5Q2
BT_4061,Q8A0G0
BT_3267,Q8A2N8
BT_3774,Q8A192
BT_3488,Q8A220
BT_3590,Q8A1R9
BT_1537,Q8A7I7
BT_3864,Q8A107
BT_1321,Q8A853
BT_t56,-
BT_1815,Q8A6R1
BT_1289,Q8A885
BT_1852,Q8A6M5
BT_2071,Q8A615
BT_1105,Q8A8R2
BT_3592,Q8A1R7
BT_1580,Q8A7E4
BT_1526,Q8A7J8
BT_2737,Q8A466
BT_0459,Q8AAK5
BT_2781,Q8A423
BT_t50,-
BT_2735,Q8A468
BT_3611,Q8A1P8
BT_2191,Q8A5P7
BT_3911,Q8A0W0
BT_2700,Q8A4A3
BT_2755,Q8A448
BT_3305,Q8A2K0
BT_3932,Q8A0T9
BT_2252,Q8A5I7
BT_4667,Q89YR4
BT_3934,Q8A0T7
BT_1338,Q8A836
BT_0624,Q8AA41
BT_4507,Q89Z70
BT_2424,Q8A520
BT_t71,-
BT_2077,Q8A609
BT_2851,Q8A3V3
BT_r15,-
BT_2162,Q8A5S6
BT_4336,Q89ZP0
BT_1296,Q8A878
BT_0891,Q8A9C4
BT_1393,Q8A7Y1
BT_1659,Q8A766
BT_0823,Q8A9J2
BT_4206,Q8A015
BT_3693,Q8A1G8
BT_0943,Q8A974
BT_3851,Q8A120
BT_t57,-
BT_0125,Q8ABI5
BT_4062,Q8A0F9
BT_3216,Q8A2T9
BT_0437,Q8AAM7
BT_3318,Q8A2I7
BT_2933,Q8A3M1
BT_t03,-
BT_2552,Q8A4P5
BT_t09,-
BT_3890,Q8A0Y1
BT_2563,Q8A4N6
BT_1275,G8JZS7
BT_t39,-
BT_0558,Q8AAA7
BT_1195,Q8A8H2
BT_4188,Q8A033
BT_4463,Q89ZB4
BT_1951,Q8A6D3
BT_2736,Q8A467
BT_1363,Q8A811
BT_1697,Q8A728
BT_4727,Q89YK4
BT_4678,Q89YQ3
BT_4654,Q89YS7
BT_t11,-
BT_3755,Q8A1B1
BT_1106,Q8A8R1
BT_3760,Q8A1A6
BT_3260,Q8A2P5
BT_2797,Q8A407
BT_0743,Q8A9S2
BT_4323,Q89ZQ3
BT_2716,Q8A487
BT_t37,-
BT_2459,Q8A4Y8
BT_1829,Q8A6P8
BT_2791,Q8A413
BT_0463,Q8AAK1
BT_1523,Q8A7K1
BT_0718,Q8A9U7
BT_1417,Q8A7V7
BT_2078,Q8A608
BT_2718,Q8A485
BT_2752,Q8A451
BT_2521,Q8A4S6
BT_1780,Q8A6U6
BT_1445,Q8A7S9
BT_4136,Q8A085
BT_0495,Q8AAH0
