SPBC2F12.17
SPAC1006.09
SPBC25B2.02c
SPAC821.10c
SPAC6F6.12
SPRRNA.30
SPBC2G5.06c
SPBP8B7.16c
SPAC56E4.03
SPBC215.05
SPAC1039.11c
SPAC5D6.01
SPCC63.08c
SPBC1604.13c
SPCC63.11
SPCC285.09c
SPAC3H5.05c
SPBC27.08c
SPAC1851.02
SPBC119.13c
ScpofMt13
SPAC1834.02
SPAC17A2.13c
SPAC637.05c
SPAC11D3.15
SPCC24B10.09
SPAPYUG7.04c
SPAC12B10.01c
SPBC1718.01
SPCC338.06c
SPBC887.01
SPCC1281.02c
SPBC8D2.01
SPBC3B9.09
SPAC23D3.11
SPBC12C2.07c
SPBC1734.03
SPBC244.02c
SPAC4A8.13c
SPCC18B5.05c
SPATRNATHR.05
SPBC776.01
SPAC227.18
SPBC16G5.14c
SPAC15A10.02
SPBC3H7.07c
SPAC6F12.15c
SPBC29A3.06
SPAC1B2.05
SPAC4D7.03
SPAC1002.04c
SPBC31E1.06
SPBC13G1.11
SPBPB8B6.03
SPBTRNAHIS.02
SPCC18B5.10c
SPBC30D10.13c
SPAC6F6.11c
SPBC800.05c
SPAC19G12.01c
SPBC11G11.06c
SPAC4G9.15
SPAC521.03
SPAC22E12.13c
SPBC4F6.18c
SPAC24C9.03
ScpofMt17
SPCC330.06c
SPBC887.10
SPATRNALEU.03
SPCTRNAVAL.11
SPBC2G5.07c
SPAC18G6.14c
SPBC17G9.03c
SPAP7G5.02c
SPCC4G3.10c
SPBPB2B2.13
SPBC26H8.03
SPBC1711.04
SPAC17G6.06
SPAC24H6.05
SPBC1604.11
SPAC144.04c
SPAC6F6.10c
SPBC646.15c
SPAC1805.17
SPBC3E7.02c
SPAC19A8.05c
SPAC644.05c
SPCC16C4.19
SPAC1F7.13c
SPCC1620.09c
SPAC19G12.02c
SPAC1D4.10
SPATRNATHR.04
SPAC19A8.07c
SPBC31F10.11c
SPAC4G9.13c
SPCC1840.11
SPBC23G7.05
SPAC6F12.16c
SPAC7D4.10
SPCC16A11.05c
SPAC1A6.04c
SPBC1709.04c
SPAC24H6.04
SPAC11G7.04
SPAC631.01c
SPAC222.07c
SPAC688.04c
SPCC794.01c
SPAC8E11.04c
SPCTRNAMET.07
SPBC1709.02c
SPCTRNAVAL.12
SPAC1F5.06
SPCC4B3.18
SPAC694.03
SPAC24C9.12c
SPCC736.06
SPBP8B7.06
SPBC16H5.06
SPAC11E3.12
SPAC139.05
SPCC126.15c
SPBC24C6.09c
SPBC29B5.01
SPAC1B3.12c
SPBC14C8.06
SPAC4G9.12
SPCC1494.04c
SPAC222.08c
SPAC2F7.14c
SPBC23E6.09
SPAC227.09
SPAC22H10.05c
SPBC16G5.01
SPAC17A2.03c
SPBP8B7.15c
SPATRNAALA.01
