Gene Symbol and Synonyms	UniProt Accession
Dmel_CG12350	Q7JPN9
Dmel_CG4798	A1ZAS3; Q8MQK4
Dmel_CG4317	Q9W438
Dmel_CG11963	Q9VHJ8; A0A126GUR6; A0A0B4JCW4; Q95U38
Dmel_CG6649	Q9VGT0
Dmel_CG9886	M9PB12; Q9VQC4
Dmel_CG10387	B9EQW7; Q24558; Q24557; Q960X5
Dmel_CG11920	Q9VBY2
Dmel_CG6658	Q9VGT5
Dmel_CG42318	A2VEY9; M9NDQ1; Q9VTV6; M9NF95; B7Z0A6
Dmel_CG6778	Q961R8; Q9VUK8
Dmel_CG10354	Q9VM71; B8A3W7; M9PEY6; Q5BI90
Dmel_CG30382	E1JGZ9; Q9V324; Q0E9G1; Q9XZJ4
Dmel_CG7478	Q9VNW5; P02574; Q540X7; M9PFZ6
Dmel_CG12582	Q0KIE6; Q9VMY5; A0A0B4KGF7
Dmel_CG17174	Q9VK52
Dmel_CR33439	-
Dmel_CG17291	Q9VLN3; M9NDI6; H5V8B8; M9MQH9; A4V0F7; Q2MGK6; Q5BI19; P36179
Dmel_CG4917	Q8IMZ9; A0A0B4JDG5
Dmel_CG3639	Q4V3Q4; M9PBP1; Q9VPT5
Dmel_CG2859	Q9U5W9; Q9VQG3
Dmel_CG9914	Q7YU75; Q9VXI1
Dmel_CG7899	Q8I0P9; Q9VAD0
Dmel_CG43663	Q59DW3; Q7KSD8; Q59DW4; Q8I8U8; Q8IN85; Q8I9F3; Q8I9F2; E1JIP2; Q4V6Z0
Dmel_CG5618	Q9VPH6; M9PG67
Dmel_CG32444	Q9VP02; Q9VP03
Dmel_CG14721	Q9VGI9; A0A0B4KFS3; Q8T4A5
Dmel_CG40050	Q1JUZ1
Dmel_CG9977	Q9VZX9
Dmel_CG14291	Q9VE24
Dmel_CG11482	A1Z7C1; A0A0B4KEM3
Dmel_CG11228	A0A0B4KFW0; Q9V8W4; Q8T0S6
Dmel_CG5201	Q5U110
Dmel_CG9527	Q9VMD7; B7Z028
Dmel_CG4237	Q9VTX5; M9PFF1
Dmel_CG30499	Q95RV5
Dmel_CG8431	Q7KN90
Dmel_CG16784	A4V0X1; P48611; Q9VIP5
Dmel_CG7583	A4V2S3; A0A0B4KFX5; A0A0B4KGG9; O61283; O46036; Q59DX5; Q95SQ8; A0A0B4KHB2; A0A0B4KGZ7; A0A0B4KFT4; Q9VG02
Dmel_CG5906	Q9VTQ1
Dmel_CG10564	M9PD54; Q9VP76; Q9VP75; M9PG27; M9PID8; M9NG95
Dmel_CG17610	P42287; Q9VLL2
Dmel_CG5361	Q9VH28
Dmel_CG8049	A4V0F3; P08630; Q9VLQ2; M9PCD8; Q8T0A0; M9PCX8; Q6NNV0; O76132; A4V0F4; O45032; P11361; Q9VLQ3; O76133
Dmel_CG4533	A0A0B4KEY5; P82147; Q8MLQ9
Dmel_CG4433	A0A0B4K6Q5; Q7KSB6; Q9VDQ8
Dmel_CG11967	Q9VHJ5; A0A0B4LGX6
Dmel_CG10230	Q7KMP8
Dmel_CG6653	Q9VGT1
Dmel_CG8745	Q95RV4; Q9VU95
Dmel_CG8349	Q7KTJ2
Dmel_CG10850	Q9VZL2
Dmel_CG31687	E1JHM5
Dmel_CG14167	Q9VT52; E7BBS2
Dmel_CG11301	Q9W256
Dmel_CG2257	Q7JW03
Dmel_CG40635	A8QIA9
Dmel_CG2903	Q8IGU6; Q9VQF2; Q9VQF3; A4V018; B7FNJ7; C9QP23; Q960X8
Dmel_CG6650	Q9VUB9
Dmel_CG9575	F0JAF7; Q9W5X0
Dmel_CG3292	Q9W275
Dmel_CG31359	Q5I7H2; P02824; Q95NK0; Q9BIS1; Q9BIR8; Q5I7I6; Q9BIS4; Q9BIR7; Q9BIS0; B0BNN7; Q95W08; Q8INI8; Q53XF0; Q9BIS2; Q5I7I8; Q9I7J6; Q5I7H8; Q9BIR9; Q5I7I3; Q5I7H4; Q9BIS3; Q5I7H6
Dmel_CG32250	Q9VZD9
Dmel_CG5164	Q7KK90
Dmel_CG8549	Q9VRY5
Dmel_CG8268	Q9VSC1
Dmel_CG8239	Q9VXQ3
Dmel_CG5643	Q9Y0Y1; Q9VB23
Dmel_CG7140	Q9VNW4
Dmel_CG4046	A0A0B4LG52; Q9W237
Dmel_CG3044	Q9W3V1
Dmel_CG12131	A0A0B4LF26; Q7K550
Dmel_CG42667	M9PHG3; A8JV40; M9MS31; A0A023GPM5; Q9W3A4; Q09103; Q0KHU7; Q8SY47; Q7YU71; M9MSN3; X2JE67; A8JV38; M9PH20; X2JEJ9
Dmel_CG2794	Q9VPR3
Dmel_CG1681	Q8MRM0; Q9VYD3
Dmel_CG7977	Q9W0A8
Dmel_CG18174	Q9NIU3; Q9V3H2
Dmel_CG7339	Q9VTL6
Dmel_CG17259	Q9VQL1
Dmel_CR33419	-
Dmel_CG2224	Q9VA71
Dmel_CG33243	Q7KV19
Dmel_CG2767	Q9VHX4
Dmel_CG18362	Q960S1; Q9VID4; Q8INT6; Q9BKE6
Dmel_CG42349	B7Z147; P83099; Q9VYN1; Q5BIE9; Q9VYN2
Dmel_CG12233	Q9VWH4; Q8SXH8; Q8IQW9; E4NKP2
Dmel_CG17143	Q8IRJ8; Q1WWD6; Q9W0T8
Dmel_CG9949	Q9VVB0; X2JB60; P21461; A4V214
Dmel_CG32064	Q95R35
Dmel_CG9327	Q9W2N9; P18053
Dmel_CG9285	Q9VFQ9; Q960P8
Dmel_CR33361	-
Dmel_CG6074	Q9VB76
Dmel_CG6147	Q9VCC9
Dmel_CG8221	O18408; Q9V7S3
Dmel_CG9743	Q9VA92
Dmel_CG1954	Q4QQA3; A0A0B4LI13; A0A0B4LHW0; Q9VAQ6; P13678
Dmel_CR33435	-
Dmel_CG30022	Q86PD3; A1Z8L2
Dmel_CG12203	Q9VWI0; Q8SZL0
Dmel_CG6036	Q9VBF9
Dmel_CG3004	Q9W328; Q95RK5; B4F5L6
Dmel_CG6713	Q4ABG6; Q7YU33; Q4ABG3; A4V0K9; A4V0L0; Q27571; Q4ABG5; Q9VKP8; Q4ABG4; Q9U096; Q4ABG7
Dmel_CG10811	A8DZ29; O61380; Q7KQ11
Dmel_CG8207	Q8SXU3; Q9V7E1
trnK	A0A097ZRP5
Dmel_CG10837	Q8SYL3; Q7PLL3; Q7PLL1; L7EEF1
Dmel_CG8310	Q9I7X1; Q9NEF6; X2JE14
Dmel_CG1821	Q0E9E4; Q9V597; A4UZ96
Dmel_CG12703	Q9VWC8; M9PF96
Dmel_CG11888	Q9V3P6; Q8IGU4; B5RIH8; A0A0B4KI10; Q9GSE5; Q9GU70; A0A0B4KHE9; Q8T075
Dmel_CG4026	M9ND56; Q9VL83
Dmel_CG16982	B7Z114; Q9W5E1; X2JA05; O77429
Dmel_CG7820	Q9V396
Dmel_CG3593	Q01637; Q9VDF2; Q24221
Dmel_CG31003	P83101
Dmel_CG4043	Q9VGZ2
Dmel_CG7192	Q9VWY7
Dmel_CG4119	Q9V3Y5
Dmel_CG14049	E7BBS5; Q9W4Z4; C4XVH4
Dmel_CG1263	A4V1C0; Q9V3G1
Dmel_CG1049	Q7K4C7
Dmel_CG3983	A4V308; B6IDZ0; Q9VEN7; Q8MT06
Dmel_CR33369	-
Dmel_CG8425	A1ZA98
Dmel_CG8102	A1Z9Z6; A1Z9Z7
Dmel_CG9633	Q9VHU3; Q24492
Dmel_CG12000	A4V2F4; Q9VNA5
Dmel_CG4531	Q9VV64; Q8MQZ2; Q00805
Dmel_CG9415	Q8MLW7; Q5BI44
Dmel_CG5410	Q8IMX6; A0A0B4J3Z9; A0A0B4KGW0; Q8IMX7; Q95TT1
Dmel_CG2168	Q9V4A9; H9XVL9; Q8IMB0; O44389; Q8IMA9; E4NKK4; H0RNB6; P55830; Q8SZD2; C4IXY1
Dmel_CG12050	Q9VIG1
Dmel_CG34407	A8DY82; A8DY81; A8DY80; A0A0B4LEZ3; E2QCN4
Dmel_CG7012	E1JIV8; A0A0B4KHG2; Q7KS07; Q9VC27
Dmel_CG3845	Q0E996; A1Z968
Dmel_CG10474	A1ZBI7
Dmel_CG11184	Q9W1H3
Dmel_CG32717	M9NG38; Q9W3H7; Q9W3H6; X2JCZ1; M9NEZ2; Q0KHU9; M9PJD0; X2JIZ6; Q7KVT3; Q6NR03; Q9W3H8; E2QD98
Dmel_CG14028	Q9VMS1; Q95UT3
Dmel_CG33138	A1Z992
Dmel_CG3922	Q9V3P5; P17704
Dmel_CG7614	Q7KPG8
Dmel_CG8241	A1Z9L3
Dmel_CG9277	Q9V8V4; A1ZBL0; Q24560; Q53YG6
Dmel_CG6542	Q9NDR1; A1ZAS8
Dmel_CR33408	-
Dmel_CG10000	Q8MYY6; Q9VAT9
trnP	-
Dmel_CG3048	Q9XYR0; A8DYU9
Dmel_CG11257	A1ZBK6
Dmel_CG5325	Q9VKB5; Q8IP97
Dmel_CG9712	Q9VVA7; Q9GSB5
Dmel_CG4954	Q8MR49; A0A0B4LFL2; A1ZAX1
Dmel_CG7185	M9NF33; Q9VSH4; Q95TS9
Dmel_CG8824	A0A0B4LG91; Q8MZ16; Q9V6C8; A0A0B4LF89; Q95RY8; Q8WSF3
Dmel_CG18278	Q5BIL9
Dmel_CG4775	Q9VPX8
Dmel_CG6760	Q9VUC7
Dmel_CG3683	Q9W125
Dmel_CG17531	A1ZB72
Dmel_CG9677	Q9VVA2; O77410
Dmel_CR33360	-
Dmel_CG9193	P17917; Q540V1; Q9V909
Dmel_CG1891	Q95U21; Q7JQ36; A0A0B4K7J3
Dmel_CG42724	Q9VI14; A0A0B4LGR1; A0A0B4KFB8; Q6NN86; Q8T0R8
Dmel_CG4919	Q9VCW6
Dmel_CG3253	Q9W1A7
Dmel_CG10944	Q95TP9; Q9W3N4; H1ZYF1; P29327; Q94993
Dmel_CG13399	Q9V444
Dmel_CG17176	M9NDN7; X2JAA1; Q9VK51; M9NF12; M9PBA8
Dmel_CG7875	P19334; A0A0B4KHH9; Q9VAE1; U3PXB8; Q7YU76
Dmel_CG9181	Q9W0G2; Q8SZY3; Q8IRH4; Q9W0G1; Q27932; I0B1P6
Dmel_CG30031	P42276; P42277; Q8SXZ4; Q9V5Y4; G7H855
Dmel_CG3806	Q9W541
Dmel_CG4869	Q9VAX7; Q8MST5
Dmel_CG6205	Q9VWV9; M9PF43; Q94549
Dmel_CG9856	Q9W2F3; Q9Y0X8
Dmel_CG9291	Q7JWD6
Dmel_CG11143	Q8MR42; Q8IGW1; O97477
Dmel_CG11942	Q9VWC3
Dmel_CG17540	Q7PL83; Q7PL82; Q7PL81
Dmel_CG34424	Q8MLS1
Dmel_CG4016	Q6NR46
Dmel_CG1673	Q9VYD5
trnN	-
Dmel_CR33396	-
Dmel_CG34403	Q59DP5; H9XVM0; Q0KIE9; Q6W494; Q6W495; Q8IMA8; P91943; Q6W4B4; O02548; Q5BHZ3; Q6W493; A4V148; Q9V4B0; Q6W492; B5RJS3; A0AVW4; Q6W4A6
Dmel_CG9153	Q9W0H2; E8NHA2
Dmel_CG31016	Q9VA52
Dmel_CG18330	Q9W0D9
Dmel_CG6720	P52485; Q9VKQ4; Q541C3
Dmel_CG3135	Q9W3W5; X2JCU9; X2JAQ0; Q961F3; X2JED7
Dmel_CG13626	Q9VC58
Dmel_CG18361	Q9VYZ9; P51140; Q494J5
Dmel_CG9468	Q9VLH9
Dmel_CG30372	A1Z7A6; E1JH06; A0A0B4LEF8
Dmel_CG5665	M9NFL7; Q9VPH3
Dmel_CG9688	Q9VA81
Dmel_CG8243	A1Z7K6
Dmel_CG16936	Q9XYZ9
Dmel_CG2670	B7Z0V1; Q9VHY5; O76207; Q8T087; Q1LZ37
Dmel_CG6850	Q95U28; B5RIN4; Q09332; Q9VVT7
Dmel_CG17330	Q9VJK8; Q767F0; Q8T900
Dmel_CG32396	Q9VRX3
Dmel_CG5442	Q9VK86; Q7KTD2; Q9V3T8
Dmel_CG15793	X2JAZ3; Q24324; Q9W360; Q8ISE0
Dmel_CG4274	Q24044
Dmel_CG5599	Q9VXY3
Dmel_CG3400	X2JED9; Q9Y1W2; Q9VWH7; Q0KHQ6
Dmel_CG6871	P17336; Q9VVT1
Dmel_CG9115	O96531; Q9VMI9
Dmel_CG10390	Q9VND0
Dmel_CG11958	Q0KHZ9; Q9VAL7
Dmel_CG7292	Q9VFF3
Dmel_CG16928	Q9XYZ4
Dmel_CG8288	Q9VXQ0
Dmel_CG17337	A0A0B4LEQ0; Q8MT58
Dmel_CG4257	Q59DV7; A0A0B4KHS7; A0A0B4KGE1; Q8SX55; A0A0B4KH10; Q24151; A0A0B4KGI7; Q9VDL8; Q8IN54; Q24181; A0A0B4KHS6; Q0KI43; Q5BIB0
Dmel_CG8571	P91638; Q9VS62; D5AEP1; Q7KU82; M9PEE1
Dmel_CG30105	A1ZAW6
Dmel_CG33981	A0A0B4KEY8; A1ZAZ9
Dmel_CG4225	Q9VF20
Dmel_CG1333	Q9V3A6; Q5BI02; E2QCT2; Q7KNC7
Dmel_CG1444	Q9W3N1
Dmel_CG6644	Q9VGS9
Dmel_CG11876	Q8IML6; Q7K5K3
Dmel_CG2937	Q9VR37; Q8MSS7
Dmel_CG5553	Q9U9Q5; Q9VPH2; I1WYG8
Dmel_CG12034	Q961B4; Q9VZS6
Dmel_CG5105	Q9VPY2
Dmel_CG33162	Q9VSN9; Q9U4F7
Dmel_CG3401	Q6I8M0; Q6I8M1; P08841; Q9W184; A0A0B4LGH1
Dmel_CG6369	Q9VBZ6
Dmel_CG7560	Q9VTI0
Dmel_CG11198	A1Z784; A8DY67; Q7JV23
Dmel_CG12170	Q9VNF5
Dmel_CG17374	Q7PLB8
Dmel_CG3523	B7Z001; Q9Y129; Q9VQL7
Dmel_CG3524	M9PB21; Q9VQL6
Dmel_CG3961	M9PCX4; Q9VVT8; E2QCY2
Dmel_CG4501	B5RIV0; Q9V3S9; Q8MT84
Dmel_CG7842	B6IDQ4; Q9VVD5; Q8T3L6
Dmel_CG8732	A0A0B4KFE4; A1Z7H2; A1Z7H3; Q8T3L1; Q9V4W4
Dmel_CG10268	B5RJH0; Q8MRY7; Q9VIT2
Dmel_CG10367	E1JIU8; P14773; Q9VCI8; A4V3A8
Dmel_CG10585	Q9VP87
Dmel_CG10778	Q8T9K9; Q9W3M6
Dmel_CG10932	Q9W3N9
Dmel_CG11268	Q9VU37
Dmel_CG12389	Q7KN61
Dmel_CG17565	Q9VEV7
Dmel_CG2976	Q9VR31
Dmel_CG31005	Q9V9Z3
Dmel_CG33671	Q7K2V9
Dmel_CG4311	Q7K4Q9
Dmel_CG4852	Q8SZZ3; Q9U1H8; Q9VRM4
Dmel_CG5919	Q9VDC2
Dmel_CG8593	Q9VS54; M9PEL3
Dmel_CG9000	Q7K172
Dmel_CG9149	Q9W0H6
Dmel_CG9360	Q9VYU9
Dmel_CG16848	Q9VJY1
Dmel_CG2846	O76206; B6IDS5; Q95S97; A0A0B4LHX1
Dmel_CG42639	Q7K2W6
Dmel_CG42640	Q9W1V6; Q95R43; Q9BLD9; S0AT10
Dmel_CG4407	Q961A2; Q8IR76; Q9VYI5
Dmel_CG11236	M9NDG8; Q9VM80
Dmel_CG11401	Q9VNT5
Dmel_CG12788	Q9VWF7
Dmel_CG1427	B6IDR0; Q9VNE3; A0A0B4KF37; A0A0C4DHG1
Dmel_CG15100	A1ZBE9
Dmel_CG2151	Q1RKZ0; Q961E3; Q53YG2; Q9W3H2; P91938; Q9W3H3
Dmel_CG31322	Q8T0Q6; A0A0B4KH54; Q9VFL5
Dmel_CG5345	Q7JXZ2
Dmel_CG6950	Q8INJ5; Q9VGH3; Q8SXC2
Dmel_CG8363	Q7KUT8; Q961A8; Q8IQV1
Dmel_CG8553	O18597; O18373; Q0E979; Q9V700
Dmel_CG10067	C8VV69; Q9W2Q0; P53501
Dmel_CG1063	A0A0B4LGN1; Q24309; Q9U981; P29993; Q9VNC8
Dmel_CG12051	P02572; Q24228; Q540X3; Q9V9J4
Dmel_CG17759	Q9I7C8; A4UZE6; Q540Y7; P23625; P54400; Q9V6E2; Q29QX1
Dmel_CG17760	Q8MQV5
Dmel_CG18069	Q9V495; Q59DP1; D1YSG7; L0MLR4; Q00168; A4V133; Q59DP2; A4V134; L0MNA2; L0MLP2; D1YSG8
Dmel_CG18290	A0A0B4LH50; Q8MZ23; P10981; A4V2T6; Q9VFU9; Q5U0U0
Dmel_CG18345	Q9V5B2; Q8MKU9; Q8IH62; P48994; C6TPC1; Q0E9E3
Dmel_CG30054	A0A0B4JD15; Q0E9A7
Dmel_CG33174	Q8MR12; X2JBS2; X2JDP4; Q86B55; B7Z151; B7Z150
Dmel_CG3504	Q24008; D3DMF9; Q9NBV3
Dmel_CG3620	P13217; Q9W4K9; Q9U4G4; A4V3Y2; E1JJD5; Q59E70; X2JCI4; Q86P93
Dmel_CG3694	Q95RZ3; E1JHC3; E1JHC4; Q9VLD3; A4V0H1; X2JDM7; Q9NFZ3
Dmel_CG40129	Q4V555; P32865; B5RJK1; E1JGX2; Q7PLS9
Dmel_CG4027	Q24227; Q9U5X7; Q9W460; A4V404; Q6YN46; P10987; X2JCP8
Dmel_CG4550	Q4QPQ2; A0AVV9; P06002; Q9TX56; Q9VDS8
Dmel_CG4574	Q0E8V1; Q9VPN9; A4UZX5; Q7KTZ7; P25455; M9PC05; Q961D5
Dmel_CG5125	P10677; Q8MRP1; Q9VM23; M9PCU0; P10676; Q9VM24
Dmel_CG5178	Q9VF62; P83967; P45893; P02575; B6IDW7
Dmel_CG5962	Q9VSN6; P19107; A8E775
Dmel_CG5996	Q9VJJ7; B7YZW4; Q9N6L1; A4V0S8
Dmel_CG6518	Q9V7V5; P13677
Dmel_CG6622	Q9V7V6; A0A0B4KFT3; P05130; D3DMK5; A8DYG9; Q9V7V7
Dmel_CG8472	A0A0B4LF57; P62152; P07181; Q9V3T4
Dmel_CG8770	Q9VW29; P29829
Dmel_CG10194	Q9VIV6
Dmel_CG10253	A0A0B4JD21; Q9V778
Dmel_CG10399	Q9VM58
Dmel_CG1041	Q9VI16; Q0KIA8; A0A126GUQ4
Dmel_CG10672	Q9VRJ4
Dmel_CG11077	Q9V492
Dmel_CG11208	Q7K3B7
Dmel_CG11793	Q9VTF6; M9PF91; P00444; Q27770; P61851
Dmel_CG11919	A1Z8D1; Q9V5R2
Dmel_CG12268	Q9VCF6
Dmel_CG12338	Q7JZB1
Dmel_CG12355	Q7KUN0; A8JNT1
Dmel_CG12428	Q9VB03; Q9VB02
Dmel_CG13827	Q9VCN8; Q8MZ03; A0A0B4K701
Dmel_CG13890	Q9W0M0
Dmel_CG1443	Q8MS59; Q9VAR3
Dmel_CG14777	Q9W588
Dmel_CG14815	Q7KW08; O46085; Q8MSJ5
Dmel_CG1633	Q9V3P0; Q0KHT0; X2JF59
Dmel_CG1662	Q9VYD6
Dmel_CG17320	Q9VJ43
Dmel_CG17544	Q9VIX4
Dmel_CG17597	Q95TG8; Q9VJ44
Dmel_CG18003	A1Z8D3
Dmel_CG2022	Q4V6H9; Q9VN75
Dmel_CG2316	Q7JUN3
Dmel_CG32262	Q9VZM6; Q8T0R4
Dmel_CG32263	Q8IRC8
Dmel_CG3415	X2JFD6; Q9VXJ0
Dmel_CG3926	Q9W3Z3
Dmel_CG3947	Q9VPB9
Dmel_CG4289	Q9VPB8
Dmel_CG4586	Q9W3U0
Dmel_CG4625	Q9VBQ6; A0A0B4KHK0
Dmel_CG4663	Q7JRD4
Dmel_CG5009	B5RIN5; Q7KML2; Q95ST5
Dmel_CG5122	Q9VK40
Dmel_CG5265	Q9VEM4
Dmel_CG5948	A0A0B4K763; Q9VBK8
Dmel_CG6486	Q9VSN7
Dmel_CG6859	Q9VUL8
Dmel_CG7081	Q9VSH8
Dmel_CG7176	Q9VSI6; B7Z0E0; Q9VSI4; Q9VSI5; Q961X1; Q7KUB0; Q7KUB1; Q8IQA7
Dmel_CG7217	Q960M4
Dmel_CG7642	Q8SXC4; P10351; Q6AWF5; Q9VFZ9
Dmel_CG7864	Q9W0D7
Dmel_CG7970	Q9W0B2; A0A0S0WGR0
Dmel_CG8306	Q960W6; Q9V7R8
Dmel_CG8315	Q7JZE1
Dmel_CG8905	A0A0B4LGQ1; Q00637; Q9V7T8
Dmel_CG9027	Q0E9C3; A1Z8K9; Q7JR71
Dmel_CG9314	Q9VLI6
Dmel_CG9319	Q9VIK0
Dmel_CG9577	Q9W5W8; Q8SZ25
Dmel_CG9707	Q8T9E8; Q9W2G9
Dmel_CG9709	Q9W2G8
Dmel_CG10124	Q9VRY0
Dmel_CG10161	Q9NHP3; Q9VCK0
Dmel_CG10198	B8A421; Q9VCH5
Dmel_CG10315	Q9W1Q8; Q0E8X6
Dmel_CG10419	Q7K0M0; Q9VVX0
Dmel_CG10473	Q9VJ12
Dmel_CG10840	Q9VZP5; M9ND37; M9NFL1
Dmel_CG10881	F3YDD7; Q9VDM6
Dmel_CG1101	Q9V3E7
Dmel_CG11092	Q9XZ06
Dmel_CG11274	Q9VU43
Dmel_CG11606	Q9VPM0
Dmel_CG11856	Q9VBU7; A0A0B4K7J2
Dmel_CG11875	Q9VBU8
Dmel_CG11943	Q9VWB8; Q8IQV9
Dmel_CG12234	Q9VWE7
Dmel_CG12357	Q9V3L6
Dmel_CG12752	A0A0B4LGG9; Q9V3H8
Dmel_CG12878	A0A0B4KH64; Q9VB04; Q7KRX5
Dmel_CG14057	Q9VVE0; E1JI31
Dmel_CG1442	Q9VAR1
Dmel_CG14712	Q9VGL0; Q960N5
Dmel_CG15526	Q9VAA7
Dmel_CG1559	Q9VYS3; Q95RG9; X2JBC1
Dmel_CG1664	Q9NFQ3; Q9NFQ2; Q9VZ65; Q9U1H9; Q9VZ68
Dmel_CG16725	Q9VV74
Dmel_CG16788	Q9VHC0
Dmel_CG16892	Q9W351
Dmel_CG17031	Q9VK76
Dmel_CG17737	Q9VZS3
Dmel_CG1873	P05303; Q9V9U8; A4V3Q6
Dmel_CG18789	Q9I7N3
Dmel_CG2031	Q9VNI8
Dmel_CG2100	Q9VNH2
Dmel_CG2158	Q7K0D8
Dmel_CG2253	Q9W3L1
Dmel_CG2637	M9NDC3; O18388; Q9V3E6; Q540Y0
Dmel_CG2677	O76863
Dmel_CG2980	Q95RL0; Q9W1F4
Dmel_CG30176	P82804
Dmel_CG3018	Q7KNM2
Dmel_CG31501	Q8INS6
Dmel_CG31671	E2QCS8; Q9VQ76; M9PE28
Dmel_CG32135	Q8IQK4
Dmel_CG32763	Q7KVW2
Dmel_CG3298	Q8MKW7; Q8MRT4; Q9GZ73
Dmel_CG33100	E1JIV5; Q8T3K5; Q9VCD6; A0A0B4JDB9; C1C3I0
Dmel_CG33931	C0PUX7; X2JLB5; Q2MGL3
Dmel_CG34317	A8JRG8
Dmel_CG34334	Q0IGP7
Dmel_CG3460	O46050
Dmel_CG3730	O46117; Q8MKK9; Q9U6Y9; Q9V7L8
Dmel_CG3820	Q8T3K4; Q9W1X4
Dmel_CG3957	Q9W1N4
Dmel_CG4035	A4V1Q6; Q95SV3; M9PBZ9; P48598; Q9VSX9; Q9VSX8
Dmel_CG4153	P41375; Q8SYX9; Q9VTZ3; F3YDB2
Dmel_CG42303	B7Z0I7
Dmel_CG42304	Q9VZY7; Q7YU11
Dmel_CG4453	Q9VXE6; A8JV18; Q1LZ48
Dmel_CG44890	Q9VEA4
Dmel_CG4494	O97102
Dmel_CG4579	Q9V463; Q9VKL5
Dmel_CG4738	Q9VKJ3; C0KG67; C0KG65; C0KG66; C0KG68; C0KG75; C0KG74; X2J9F3; C0KG71; Q6AWI7; C0KG69; C0KG70
Dmel_CG4810	Q9VGC7
Dmel_CG4878	Q0E940; Q8MR84; E2QCG7; C0PUW0
Dmel_CG4924	A1ZAW5; Q9U3W1
Dmel_CG4931	Q6NP16; Q9VF87; Q8MR06
Dmel_CG5119	Q0E932; Q9V8C3; P21187; A4UZM5
Dmel_CG5632	Q9VTV1; Q705B9; M9PEZ4
Dmel_CG5733	A1YK02
Dmel_CG5857	Q9VCG4; Q3YE69
Dmel_CG6046	Q1LYZ7; A0A126GUU7; Q9N9Z3; Q9VEX9; Q8SZF6
Dmel_CG6203	Q9NFU0; A4V2M8; Q9GSG3; B3LF78; A0A0B4K618; Q9TVY4; A0A0B4KFN9; Q8T0M0; Q9VH27; Q8WQ60; Q95P21; A0A0B4KGP6; Q8INM7; A0A126GUS7
Dmel_CG6251	Q7JXF5
Dmel_CG6539	Q9V3C4
Dmel_CG6540	Q9VWS2
Dmel_CG6743	Q9V466
Dmel_CG6773	Q9V3J4
Dmel_CG6819	Q9GYU8; Q9VG41
Dmel_CG6958	Q86PB8; Q9VCW3
Dmel_CG7035	Q7K4N3; Q7K7B2; Q9U980; E2QD75
Dmel_CG7262	Q9VFE7
Dmel_CG7269	Q540X0; Q9VMQ1; Q27268; M9PC90
Dmel_CG7360	Q8SYM7; Q9VDV3
Dmel_CG7483	Q9VHS8; Q8SXH3
Dmel_CG7671	Q9VE85
Dmel_CG7815	Q9VUN3; D7PER7
Dmel_CG7883	Q9VAD4
Dmel_CG7897	A1Z6H7
Dmel_CG7907	Q4V551
Dmel_CG8023	Q9VSG1
Dmel_CG8038	Q9VSC6
Dmel_CG8053	Q9VEA1
Dmel_CG8069	A1Z7P3; Q6NL95
Dmel_CG8190	A1ZA22
Dmel_CG8274	O01385; A0A0B4KFE9; A1Z8P9
Dmel_CG8280	C6TP87; P08736; Q0E9B9; Q9V631
Dmel_CG8383	Q9VH84; A8JQW3
Dmel_CG8636	Q9W4X7
Dmel_CG8722	Q7K2X8
Dmel_CG8771	A0A0B4K859; A1Z945
Dmel_CG8781	Q95X08; Q8SZA6; Q9V535; F2FB57
Dmel_CG8831	Q9V6B9
Dmel_CG8846	Q9XZ56
Dmel_CG8882	Q9VMX5; Q540Y6; O02195
Dmel_CG8963	Q7K581; A0A0B4K891
Dmel_CG9075	Q02748; A4UZV9; Q9U9Y6; Q9VMJ8; C9QP42
Dmel_CG9124	Q9VMU9; Q9U9Q4; C0PTU9; Q7KLX2
Dmel_CG9177	Q0KHS2; A4V4K0; Q9VXK6
Dmel_CG9401	Q9W2L3; A0A023T5E7; P49028
Dmel_CG9422	Q0E9N4
Dmel_CG9615	Q9VHT2
Dmel_CG9765	C7LAF1; A0A0B4KFK1; Q86BB4; Q95TU9; A0A0B4JCV4; Q8IPN1; Q86BB5; A0A0B4K6I7; Q9VN51; A0A0B4JD97
Dmel_CG9769	Q9VN50
Dmel_CG9805	Q0KID1; Q8SYE5; Q8IH03; Q9VN25; Q494J3
Dmel_CG9862	Q9W2E7
Dmel_CG9946	Q9V3G2; X2JFR6; P41374
Dmel_CG9999	M9PBD9; Q9VIW3; M9PD65; Q9XZI5
Dmel_CR31379	-
Dmel_CR31539	-
Dmel_CR31850	-
Dmel_CR31854	-
Dmel_CR32867	-
Dmel_CR32878	-
Dmel_CR32882	-
Dmel_CR32913	-
Dmel_CR33788	-
Dmel_CG10262	Q9VIT0
Dmel_CG10489	Q9VRQ7
Dmel_CG12018	Q9U9Q3; Q8MZ80; T2GGB6; Q9W088
Dmel_CG12223	Q24285; Q95SD7; Q23998; Q24537; B7Z0Z0; A4V4L8; F2FBA6
Dmel_CG17227	Q9VG84
Dmel_CG1795	Q9V3I8; C4IXZ6
Dmel_CG1981	Q9V4D8
Dmel_CG3178	B7YZZ9; P27864; Q540Y1; Q9VQJ4
Dmel_CG3975	Q9Y118
Dmel_CG40411	Q8MSB5; Q9W5S1; Q7PLT6; Q8MU87; Q9W5Q5; A8Y590; P35875
Dmel_CG4208	Q9Y095
Dmel_CG5285	Q9VEM1
Dmel_CG5602	Q960P4; Q9W1H4
Dmel_CG5949	Q9VUW8; P54358
