source_name	source_uniprotAC	source_pathways
INVS	Q9Y283	WNT/Wingless(non-core)
LRRFIP2	Q9Y608	WNT/Wingless(non-core)
NLK	Q9UBE8	WNT/Wingless(non-core)
CSNK2A1	P68400	WNT/Wingless(non-core)
CAPRIN2	Q6IMN6	WNT/Wingless(non-core)
YWHAZ	P63104	WNT/Wingless(non-core)
YWHAB	P31946	WNT/Wingless(non-core)
TSC1	Q92574	WNT/Wingless(non-core)
RPTOR	Q8N122	WNT/Wingless(non-core)
TLE1	Q04724	WNT/Wingless(non-core)
GATA3	P23771	WNT/Wingless(non-core)
PITX2	Q99697	WNT/Wingless(non-core)
MED12	Q93074	WNT/Wingless(non-core)
DAAM1	Q9Y4D1	WNT/Wingless(non-core)
LRRK2	Q5S007	WNT/Wingless(non-core)
PIP5K1A	Q99755	WNT/Wingless(non-core)
ROCK1	Q13464	WNT/Wingless(non-core)
ADRBK1	P25098	WNT/Wingless(non-core)
GRK5	P34947	WNT/Wingless(non-core)
NPR1	P16066	WNT/Wingless(non-core)
