Gene ID	Gene Symbol	
414684	mgst1	
399235	uba2	
432134	MGC80198	
378923	bub1b	
444527	dvl3	
444543	folr1	
447522	aldh7a1	
100294514	gria2	
100463496	mid1	
735187	sf3b5	
444287	cltc	
431839	MGC82312	
398417	kcne1	
779328	amt	
446714	sh3glb2	
379478	ca4	
379095	tnnc2	
414613	MGC81482	
380043	rps13	
398372	smurf2	
735059	MGC85013	
496052	ap3m2	
398787	MGC68542	
398956	ppat	
447361	ahcyl2	
380119	nploc4	
394381	per2	
446697	jak1	
735067	polr3g	
447165	lipt1	
443701	cd44	
399291	ptpn11	
397785	mapk1-b	
443745	ube2b	
734664	rpl35	
379580	cdc23	
380351	fzr1	
414590	mgat2	
734907	thoc6	
431869	syvn1-a	
495465	LOC495465	
380152	srsf3	
733315	tank	
398099	cdc7	
100873156	cd38b	
496207	m6pr	
446351	tbk1	
447025	cel	
100125673	fancg	
398006	insr	
735073	psma1	
397868	hdac1-a	
495058	cd74	
779355	slc27a6	
100037026	LOC100037026	
734637	MGC115367	
100189568	tmlhe	
444614	MGC84105	
398629	herpud1-b	
432171	ap2m1-b	
380457	ywhab-b	
495019	snrpb2	
495516	pim1	
444225	pigo	
100036774	cyp17a1	
446468	ugp2	
444167	ada	
380205	gnl2	
446221	ena	
378608	crhr2	
495085	LOC495085	
444514	ptpn1	
432086	gpx8-a	
398141	LOC398141	
734627	atp6v1a	
397726	rad51-a	
447491	ocln-a	
446253	apg4a	
398964	MGC68821	
399443	itgb1-b	
380010	otud5-a	
495426	hnmt-a	
373672	kras-a	
398191	chek1	
379907	ndufv1	
380255	hnrpk	
398851	MGC68808	
380028	dars	
494752	stx19	
386669	chrng	
446657	hacl1	
100653508	LOC100653508	
398121	ldha-b	
414634	arhgap35	
398765	sox17a-b	
398083	myh9	
398861	LOC398861	
446737	rps23	
495002	rptor	
397778	tgfb1	
494715	scp2	
380419	col1a2	
414576	MGC81040	
379860	utp15	
380485	impdh1	
373733	zfyve9	
100037025	ganab	
447180	cox7a2-a	
734731	ncf4	
432180	csnk2a2	
734882	ccnd2-b	
380340	gnl3	
397962	stmn1-b	
397916	fxyd2	
779261	nudt9	
379749	arf1	
379811	cnot8	
380563	acads	
443854	cblb-a	
735130	utp18	
494800	ctsz	
734697	fgf7	
734940	hagh	
446472	etnppl	
779264	rilp	
398251	bcl2l1	
100174803	acsl4	
432228	sh3gl1	
495092	atp6v1c1	
387604	fzd10-a	
496093	gnl3l	
432035	nxf1	
734814	gabarapl2	
378518	cdh2-a	
398137	agxt	
398202	dync1li1-b	
378605	htr1a	
379394	ednrb2	
444449	tbc1d4	
100036983	gna15	
373780	phkg1	
100036953	nmnat1	
398589	iqgap1	
379386	gatm	
446998	tnfaip3	
734325	ctnnbl1	
443563	rad26	
100036770	cyp2a6	
432039	MGC80011	
397942	thra	
446308	polr3c	
380337	mrps12	
444376	dbia	
494858	LOC494858	
398584	me2	
495177	hla-dra	
379048	ccnb3	
379222	id3-a	
379528	mars2	
100126644	gtpbp4	
407843	fshb	
447154	ndufs8	
399328	ppp2r2a	
496309	med8	
100189579	tpm1	
779293	nup43	
379664	smad1-a	
431844	clns1a	
495981	LOC495981	
444624	MGC84135	
414491	rnf7	
734714	uroc1	
447261	MGC86324	
735107	msn	
tRNA-Ile	-	
495515	prmt5	
444279	bpgm	
432256	cga-b	
735066	ppp1r3b-a	
444830	nudt21	
432181	gtf2h4	
594872	homer1	
444006	prdx5	
414658	nme4-a	
431998	rps4	
378662	gucy2c	
373602	prkdc	
779404	cycb3	
380484	bin1	
444512	nr1h2	
444075	ern2	
444169	ccr7-b	
379076	tubb6	
380203	ctsc	
444457	MGC83664	
779188	smg1	
394360	abi2	
100037098	cyp51a1	
734631	chpt1	
379879	nsfl1c	
394296	aldh1-A	
379128	rsl24d1	
394224	maml1	
373697	nbl1	
495075	LOC495075	
100505446	LOC100505446	
379566	MGC69074	
495316	LOC495316	
399114	ctnnbip1-a	
447268	MGC86346	
100037146	pfkp	
446739	rps26	
378632	dkk2	
397732	atp5a1	
398152	spdyc-b	
398756	bcar1	
495996	mrps11	
399285	atp1a1-a	
380576	rps2	
444845	LOC444845	
100036784	aldh4a1	
447078	ap2s1	
445841	adh5	
398094	cyp26a1	
379460	MGC64344	
380564	m6pr	
734513	nt5e	
tRNA-His	-	
496311	LOC496311	
398752	atp1a2	
379837	eif2b3	
447159	MGC85478	
444270	MGC80883	
100158286	cln5	
379273	dhcr7	
100037248	th	
443989	lars2	
432137	MGC80057	
380044	gmds	
379353	MGC52541	
443863	rars2	
379732	MGC69176	
447038	hccs-b	
443912	rpl7a	
2642084	COX3	
494832	pygl	
432024	nup160	
398034	ykt6-a	
100158313	LOC100158313	
446466	taf7	
398490	ctnnd1	
380148	agpat3	
444093	b3gnt7	
494700	psat1	
414608	psme3	
399006	cav1-a	
379705	nadk-b	
733162	eif4g1	
398546	LOC398546	
tRNA-Ala	-	
373848	p2ry1	
444689	cyth2	
446722	ppox	
399234	stt3a	
399056	araf-b	
734579	ppa1	
443787	cbr3	
446508	col9a3	
495089	atp6ap1.1	
379297	cyp2c8.1	
403373	nbn	
444296	chrna1.2	
399042	brk1-a	
734717	hsd17b7	
398286	p2rx7	
495051	itga2b.2	
735172	rpl7	
447784	zmpste24	
399198	shc1	
398563	LOC398563	
447329	adssl1-b	
380508	camk2g	
378551	gad1.1	
446629	MGC82420	
2642080	CYTB	
378523	agtr1-b	
398179	chek2	
379945	prpf8	
379283	atp12a-b	
446671	pik3c3	
380519	btg1	
443897	cyfip2	
444484	wdr61	
734566	tigar	
379702	MGC68990	
378661	inhbc.1	
398423	pofut1	
444044	hadha	
100294520	socs1-b	
432126	cox5b.2	
494703	LOC494703	
380007	mylc2a	
495134	LOC495134	
431943	suv39h1	
496302	ube2c	
398095	pdcd6ip	
444518	scin	
414688	rpl14	
414678	LOC414678	
447139	rpl38	
100036974	sat1-a	
494659	sfrp5-b	
378527	htr7	
444557	galnt13	
735076	creb3-b	
100126631	ppif	
447632	nfkb1	
444530	cycs	
444327	MGC81028	
398276	tk2	
379226	f2rl2	
735084	adssl1-a	
380385	ube3a	
444234	MGC80802	
379814	rpl12	
398751	abat	
398500	dag1	
446885	pi4k2b	
378553	sdc3	
447000	bpnt1	
100037245	ptgs1	
779195	MGC130708	
397885	LOC397885	
444698	gngt1	
379729	cul2	
431878	MGC82269	
379912	sdc2-a	
398064	pdhb-b	
380394	ldha-a	
496330	echdc1	
444089	tyk2	
734382	rac1	
431814	akt1s1	
444551	idh3g	
380437	dhrs9	
100049749	sbds	
734552	ppp2r4	
444618	sgk1-b	
378679	wnt3a	
378630	gnal	
398294	smad8c	
397850	hspa5	
394409	parn	
380463	sdha	
398641	prdx6	
414723	MGC81224	
399021	ogdh	
495464	LOC495464	
399364	wnt7b	
444623	rdh5	
447768	MGC84258	
494671	idi1	
446770	csf3r	
447360	rpp25l	
398930	fmo2	
398022	igf1r	
379726	ube2z	
431915	psme4	
379965	mtmr4	
380527	rps15	
444823	MGC84412	
398753	MGC68448	
432212	slc25a4	
379449	sumo3	
734883	stx5	
444699	serpinb5	
399129	rad21	
734248	gab1	
734384	vps37a	
447489	atp6v0d2	
734887	snrpb	
444289	MGC80941	
444409	aass	
379858	hspa9-b	
379615	snai1	
379876	mapk8	
496037	tgfa	
444702	pstk	
100101273	rpl28-a	
398349	aurka-b	
398592	mapk12	
447229	rapgef2	
446982	cdc16	
399196	gadd45g	
443754	gtf2h2	
379781	snrpa	
444388	hacd4	
494826	tnni3	
495522	f3	
431889	nol6	
733414	LOC733414	
100101294	gart	
399142	pten	
494646	psme1	
399035	tnfrsf12a	
734759	lipa	
735068	zbtb17	
2642083	ATP6	
735232	mphosph6	
446859	tbxa2r	
398940	ube2q2	
446317	sord	
398459	actb	
734821	nme6	
431898	wasl	
431959	rab11fip5	
447414	MGC82150	
734568	ulk3	
100158399	LOC100158399	
378689	wnt5a	
373823	gnrhr	
380364	stmn1-a	
446263	mdh2-a	
446915	wnt11	
496403	fadd	
444552	impa1	
734716	polr3d	
379809	ywhaz-a	
431923	MGC81129	
447419	crkl	
446512	arf6.2	
734828	mmab	
495507	wash1	
398830	scn4b	
496021	tubal3	
398609	LOC398609	
432140	pabpc1-b	
397803	tnni3	
399468	eef1d	
446781	ptgs2	
380325	kars	
779430	mrps9	
398916	MGC68712	
447187	cox7c-b	
100380954	ptpn6	
735072	wdr82-b	
447538	nup37	
447013	prkcsh	
734761	hmbs	
380450	ube2i	
379937	ccnd1-a	
496218	LOC496218	
496244	ap3s2	
378540	ihh	
735034	fmr1-b	
443952	MGC80325	
446618	isyna1-b	
398887	abcc5	
394282	rfng	
378633	smad3	
100037143	march6	
