AT3G09820
AT1G20260
AT3G29200
AT2G22910
AT4G35640
AT1G01480
AT1G06130
AT1G20330
AT4G21530
AT1G10630
AT1G27900
AT2G01830
AT1G62640
AT5G52840
ArthCp076
AT3G61130
AT5G08690
AT2G48150
AT4G33220
AT2G29370
AT5G22010
AT5G08590
AT2G45200
AT5G18170
AT1G17260
AT1G10210
AT4G15440
AT4G25980
AT4G25890
AT2G26710
AT4G03330
AT5G20420
AT5G23250
AT4G34555
AT5G51200
AT3G15352
AT1G76680
AT1G65660
AT1G78290
AT1G73960
AT2G20690
AT2G31450
AT5G19690
AT1G29630
AT4G36450
AT4G38850
AT1G20200
AT2G28800
AT5G15400
AT1G78580
AT3G26020
AT4G32915
AT4G20930
AT5G01320
AT5G23070
AT3G08510
AT3G28200
AT1G63940
AT4G33270
AT5G15110
AT4G12430
AT3G12040
AT1G51470
AT3G13290
AT3G11960
AT5G45010
AT3G11130
AT1G76030
AT1G48350
AT3G03430
AT3G42830
AT3G26030
AT2G07698
ArthCp027
AT1G08080
AT2G31610
AT5G55160
AT5G66240
AT2G29320
AT3G07370
AT5G08300
AT4G33010
AT5G10920
AT5G06460
AT3G54690
AT5G28540
AT5G67240
AT1G01360
AT1G20340
AT1G71010
AT5G57220
AT5G47520
AT5G63680
AT2G33450
AT3G28390
AT1G75340
AT5G58180
AT2G43750
AT1G60140
AT2G26080
AT4G09570
AT1G65040
AT5G05730
AT3G44540
AT4G37390
AT5G54080
AT1G64060
AT2G01140
AT3G59970
AT5G19890
ArthCp043
AT1G27595
AT2G47690
AT4G16270
AT2G07689
AT5G05860
AT3G19480
AT5G54060
AT1G59860
AT3G48100
AT1G75580
AT1G49400
AT1G24620
AT1G16350
AT1G05010
AT3G02160
AT4G33150
AT4G31050
AT4G24820
AT5G40490
AT2G35380
AT1G67830
AT4G16710
ArthMt005
AT3G22460
AT1G80420
AT3G42850
AT2G22670
ArthMt015
ArthCt103
AT4G37560
AT1G12230
AT1G30510
AT4G16030
AT5G51060
AT4G19760
AT5G14530
AT1G58684
AT3G14080
AT2G46610
AT5G10630
AT3G20450
AT5G37670
AT1G66520
AT5G07990
AT3G26480
AT1G29960
ArthCp059
AT4G36960
AT4G02770
AT4G29160
AT5G02810
AT5G46290
AT4G17480
AT2G46070
AT5G40650
AT2G44350
AT1G17650
AT3G44250
AT3G14270
AT5G22420
AT1G51590
AT3G48360
AT4G31940
AT5G54390
AT2G01290
AT5G20020
AT4G36750
AT3G19840
AT5G65670
AT2G30910
AT3G13570
AT4G12600
AT4G13890
AT3G52300
AT1G11610
AT5G51440
AT1G73050
AT4G37990
AT2G46280
AT5G37900
AT5G39850
AT2G24610
AT3G14440
AT2G05630
AT5G55810
AT5G39400
AT3G15290
AT3G09920
AT4G26710
AT3G06310
AT3G61450
AT1G08110
AT1G23290
AT2G04630
AT2G35340
AT3G04580
AT4G23660
AT2G23410
AT1G27680
AT3G53250
AT2G47760
AT2G18790
AT5G28450
ArthCt108
AT3G15870
AT5G59750
AT1G17440
AT5G66760
AT4G19750
AT3G05510
AT1G79040
AT5G13280
AT1G31670
AT1G79230
AT4G25550
AT3G12250
AT5G17330
AT1G01100
AT3G57510
AT1G63800
AT2G36800
ArthMp109
AT1G04820
AT5G54570
AT5G09350
AT3G43670
AT5G63910
AT2G20360
AT3G49680
AT1G30820
AT3G62760
AT3G55750
AT1G61950
AT3G60240
AT5G20040
AT5G58690
AT2G19750
AT5G27120
AT4G26850
AT1G44575
AT5G46160
AT3G10900
AT5G03940
AT4G34100
AT5G37780
AT1G06020
AT1G09795
AT2G24400
AT5G15950
AT1G29260
AT3G54890
AT5G37770
AT2G22425
AT1G58380
AT3G57040
AT5G17770
AT2G47330
ArthMt020
AT4G25200
AT2G44040
AT4G37310
AT3G13490
AT2G27070
AT2G45440
AT5G65720
AT4G28620
AT5G17550
AT5G62530
AT3G43800
AT1G15930
AT3G42050
AT3G57530
AT2G16580
AT5G47340
AT5G64070
AT2G44050
AT5G13380
AT1G66750
AT3G05060
AT2G35690
AT5G37910
AT2G07640
AT3G24110
AT2G18170
AT5G01410
AT3G48000
AT5G27620
AT5G48870
AT1G48500
AT5G54310
AT2G17420
AT2G21210
AT2G17510
AT2G07707
AT3G04080
AT5G10240
AT2G17630
AT4G25420
AT5G45400
AT5G14030
AT5G59240
AT3G49700
AT2G19590
AT2G21270
AT3G19040
AT2G18710
AT3G45300
AT3G45040
AT1G14250
AT1G66340
AT5G58782
AT1G18640
AT3G47340
AT5G11320
AT5G04920
AT3G47040
AT5G14740
AT4G14455
ArthCp019
AT5G10350
AT1G01340
AT5G19550
AT3G55410
AT1G53310
AT3G22450
AT5G25780
AT3G27820
AT3G17240
AT4G12110
AT5G07200
AT2G30260
AT4G30330
AT5G05690
AT4G21540
AT4G00520
AT1G78960
AT5G18900
AT5G18180
AT2G19740
AT4G37840
AT2G43790
AT3G03820
AT1G77510
AT2G17840
AT5G57940
AT3G22400
AT1G50110
AT4G34840
AT2G21160
AT1G23870
AT2G30800
AT1G17270
AT5G23020
AT3G60510
ArthMp040
AT1G01610
AT5G43620
AT4G16110
AT5G17480
AT4G34350
AT3G25180
ArthCt112
AT4G33260
AT1G16970
AT5G11150
AT1G19440
AT1G77470
AT1G48430
AT4G27920
AT1G23240
AT1G58080
AT5G54810
AT1G63000
AT5G26310
AT1G63780
AT1G03190
AT2G28085
AT2G02760
AT5G53850
At1g15550
AT3G16857
AT3G11270
AT4G29040
AT5G55590
AT3G09740
AT3G50770
AT5G01290
AT1G76130
AT4G10180
AT4G24190
AT3G15010
AT5G27700
AT4G04930
AT4G03400
AT5G25450
AT1G22760
AT4G34110
AT5G13160
AT4G00240
AT4G27650
AT1G76650
AT2G47470
AT1G68890
AT1G17890
AT3G01390
AT5G57890
AT3G26618
AT1G77740
AT1G67650
AT3G58500
AT5G60340
AT3G51300
AT5G40760
AT4G31120
AT5G42260
AT3G05710
AT3G02570
AT3G43860
AT5G40150
AT1G72730
AT2G30000
AT1G48900
AT3G60540
AT4G27670
AT3G10370
AT5G25620
AT5G60600
AT1G79870
AT2G24200
AT2G29460
AT5G13860
AT1G66260
AT5G55170
AT2G16930
AT2G37340
AT4G33870
AT3G10920
AT3G14940
AT5G36880
AT5G05340
AT1G54210
ArthCt125
AT1G79460
AT5G64100
AT1G48635
AT3G04460
AT1G78440
AT5G11880
AT2G42120
AT2G44070
AT1G12640
AT2G47030
AT3G06040
AT2G30920
AT4G29540
AT1G48140
ArthCp039
AT5G18930
AT1G67090
AT5G08600
AT2G18900
AT5G58400
AT1G54270
AT3G03100
AT5G36700
AT2G34250
AT1G76300
AT3G48960
AT1G53023
AT4G00570
AT5G49650
AT1G22170
AT1G79440
AT3G18000
AT4G28640
AT3G59380
AT1G05990
AT3G02350
AT1G01290
AT5G56710
AT4G31780
AT1G19780
AT2G21410
AT2G30670
AT5G27730
AT5G23320
AT2G30750
AT2G34480
AT1G07360
ArthCp006
AT4G25970
AT1G56190
AT5G67030
AT1G45249
AT1G77000
AT5G56680
AT3G02590
AT1G63290
AT2G02000
AT1G52400
AT5G20570
AT4G26200
