Gene Symbol and Synonyms,Gene Symbol
Rv2919c,glnB
Rv0956,purN
Rv3201c,Rv3201c
Rv2122c,hisE
Rv1568,bioA
Rv1309,atpG
Rv2701c,suhB
Rv2580c,hisS
Rv2443,dctA
Rv2178c,aroG
Rv1471,trxB1
Rv1886c,fbpB
Rv1438,tpi
Rv0126,treS
Rv1736c,narX
Rv0858c,dapC
Rv1416,ribH
Rv1613,trpA
Rv2251,Rv2251
Rv0252,nirB
Rv0255c,cobQ1
Rv3711c,dnaQ
Rv0848,cysK2
Rv0491,regX3
Rv1605,hisF
Rv1878,glnA3
Rv0350,dnaK
Rv2442c,rplU
Rv1380,pyrB
Rv0983,pepD
Rv2110c,prcB
Rv1130,prpD
Rv2349c,plcC
Rv1512,epiA
Rv1862,adhA
Rv3102c,ftsE
Rv0053,rpsF
Rv0649,fabD2
Rv3264c,manB
Rv1071c,echA9
Rv1294,thrA
Rv1328,glgP
Rv0490,senX3
Rv3536c,hsaE
Rv2400c,subI
Rv0971c,echA7
Rv2377c,Rv2377c
Rv3175,Rv3175
Rv0222,echA1
Rv3759c,proX
Rvnr02,rrl
Rv3273,Rv3273
Rv0416,thiS
Rv0427c,xthA
Rv0860,fadB
Rv0896,gltA2
Rv3518c,cyp142
Rv2291,sseB
Rv1121,zwf1
Rv0869c,moaA2
Rv1257c,Rv1257c
Rv2363,amiA2
Rv2918c,glnD
Rv1703c,Rv1703c
Rv2094c,tatA
Rv2605c,tesB2
Rv2852c,mqo
Rv2202c,adoK
Rv3255c,manA
Rv1079,metB
Rv1612,trpB
Rv2727c,miaA
Rv0322,udgA
Rv2386c,mbtI
Rv3666c,dppA
Rv2613c,Rv2613c
Rv1472,echA12
Rv0500,proC
Rv3607c,folB
Rv1901,cinA
Rv2504c,scoA
Rv2538c,aroB
Rv1213,glgC
Rv1033c,trcR
Rv1032c,trcS
Rv2064,cobG
Rv0091,mtn
Rv1935c,echA13
Rv1656,argF
Rv3571,kshB
Rv3062,ligB
Rv1821,secA2
Rv2220,glnA1
Rv0589,mce2A
Rv2976c,ung
Rv1837c,glcB
Rvnt41,serV
Rv2444c,rne
Rv3086,adhD
Rv3665c,dppB
Rv0824c,desA1
Rv3459c,rpsK
Rv2531c,Rv2531c
Rv3309c,upp
Rv2911,dacB2
Rv2682c,dxs1
Rv1822,pgsA2
Rv0056,rplI
Rv2441c,rpmA
Rv1017c,prsA
Rv3155,nuoK
Rv1511,gmdA
Rv3608c,folP1
Rv0389,purT
Rv1844c,gnd1
Rv0174,mce1F
Rv3245c,mtrB
Rv3356c,folD
Rv0903c,prrA
Rv0914c,Rv0914c
Rv3443c,rplM
Rv3042c,serB2
Rv1023,eno
Rv0806c,cpsY
Rv1201c,dapD
Rv1606,hisI
Rv0981,mprA
Rv2427c,proA
Rv0732,secY
Rv3145,nuoA
Rv0558,menH
Rv3003c,ilvB1
Rv2845c,proS
Rv1464,csd
Rv1969,mce3D
Rvnt26,proU
Rv3634c,galE1
Rv2332,mez
Rv1688,mpg
Rv1916,aceAb
Rv0321,dcd
Rv1594,nadA
Rv0808,purF
Rv2121c,hisG
Rv3546,fadA5
Rv1699,pyrG
Rv2601,speE
Rv2458,mmuM
Rv0105c,rpmB1
Rv1310,atpD
Rv3684,Rv3684
Rv1163,narJ
Rv1492,mutA
Rv2218,lipA
Rv2496c,bkdB
Rv1658,argG
Rv0564c,gpdA1
Rv0929,pstC2
Rv1107c,xseB
Rv2737c,recA
Rv2329c,narK1
Rv3009c,gatB
Rv3051c,nrdE
Rv3721c,dnaZX
Rv0873,fadE10
Rv2982c,gpdA2
Rvnt22,leuU
Rv2975a,Rv2975a
Rv1601,hisB
Rv3907c,pcnA
Rv2773c,dapB
Rv0032,bioF2
Rv0247c,Rv0247c
Rv3570c,hsaA
Rv0975c,fadE13
Rv2921c,ftsY
Rv0173,lprK
Rv1015c,rplY
Rv3279c,birA
Rv0334,rmlA
Rv0162c,adhE1
Rv0409,ackA
Rv0562,grcC1
Rv3581c,ispF
Rv3025c,iscS
Rv3859c,gltB
Rv3502c,Rv3502c
Rv1143,mcr
Rv3809c,glf
Rv3206c,moeB1
Rv1562c,treZ
Rv0640,rplK
Rv3303c,lpdA
Rv3117,cysA3
Rv1695,ppnK
Rv2243,fabD
Rv1771,Rv1771
Rv2783c,gpsI
Rv0511,hemD
Rv2555c,alaS
Rv3398c,idsA1
Rv2252,Rv2252
Rv3214,gpm2
Rv2486,echA14
Rv1392,metK
Rv2388c,hemN
Rv3628,ppa
Rv2294,Rv2294
Rv1569,bioF1
Rv1485,hemZ
Rv2455c,Rv2455c
Rv1323,fadA4
Rvnt25,asnT
Rv3559c,Rv3559c
Rv0711,atsA
Rv3313c,add
Rv1715,fadB3
Rv2071c,cobM
Rv0729,xylB
Rv1819c,bacA
Rv2228c,Rv2228c
Rv3302c,glpD2
Rv0620,galK
Rv3644c,Rv3644c
Rv1307,atpH
Rv1652,argC
Rv2572c,aspS
Rv2697c,dut
Rv1552,frdA
Rv3275c,purE
Rv2922A,acyP
Rv2584c,apt
Rv0267,narU
Rvnt30,lysU
Rv0467,icl1
Rv0055,rpsR1
Rv2070c,cobK
Rv1077,cbs
Rvnt24,metV
Rv3468c,Rv3468c
Rv3379c,dxs2
Rv1099c,glpX
Rv3147,nuoC
Rv1603,hisA
Rvnt07,metT
Rv3715c,recR
Rvnt42,serX
Rv3411c,guaB2
Rv1284,canA
Rv1389,gmk
Rv1390,rpoZ
Rv3340,metC
Rv2686c,Rv2686c
RVnc0006,C8
Rv0703,rplW
Rv2981c,ddlA
Rv1028c,kdpD
Rv2593c,ruvA
Rv3382c,Rv3382c
Rv3229c,desA3
Rv1539,lspA
Rv0234c,gabD1
Rv2497c,bkdA
Rv3500c,yrbE4B
Rv0260c,Rv0260c
Rv1070c,echA8
Rv0728c,serA2
Rv2419c,gpgP
Rv0548c,menB
Rv3024c,trmU
Rv2236c,cobD
Rv0773c,ggtA
Rv2977c,thiL
Rv0536,galE3
Rv1311,atpC
Rv2247,accD6
Rv0733,adk
Rv1346,mbtN
Rv2612c,pgsA1
Rv2740,ephG
Rv0129c,fbpC
Rv1966,mce3A
Rv1093,glyA1
Rv2678c,hemE
Rv0853c,pdc
Rv3372,otsB2
Rv1320c,Rv1320c
Rv3456c,rplQ
Rv0631c,recC
Rv1854c,ndh
Rv0046c,ino1
Rv0066c,icd2
Rv0670,end
Rv2464c,Rv2464c
Rv3116,moeB2
Rv0001,dnaA
Rv2677c,hemY
Rv2881c,cdsA
Rv2029c,pfkB
Rv3461c,rpmJ
Rv3834c,serS
Rv3924c,rpmH
Rv1451,Rv1451
Rv1536,ileS
Rv3393,iunH
Rv3702c,egtC
Rv0167,yrbE1A
Rv2163c,pbpB
Rv2205c,Rv2205c
Rv3290c,lat
Rv3645,Rv3645
Rv3523,ltp3
Rv2124c,metH
Rv2790c,ltp1
Rv1449c,tkt
Rv3373,echA18
Rv1737c,narK2
Rv3318,sdhA
Rv0062,celA1
Rv1547,dnaE1
Rv1820,ilvG
Rv3012c,gatC
Rv1848,ureA
Rv0478,deoC
Rv3441c,mrsA
Rv1618,tesB1
Rv1212c,glgA
Rv2606c,snzP
Rv1445c,devB
Rv1630,rpsA
Rv3582c,ispD
Rv3133c,devR
Rv1654,argB
Rv3332,nagA
Rv1031,kdpC
Rv1350,fabG2
Rv0261c,narK3
Rv1596,nadC
Rv0248c,Rv0248c
Rvnt17,leuX
Rvnt14,argT
Rv3246c,mtrA
Rv0682,rpsL
Rvnt31,valT
Rv1812c,Rv1812c
Rv2988c,leuC
Rv0951,sucC
Rv1292,argS
Rv0630c,recB
Rv1965,yrbE3B
Rv1001,arcA
Rv0710,rpsQ
Rv3709c,ask
Rv3153,nuoI
Rvnt34,valU
Rv0423c,thiC
Rv0009,ppiA
Rv2412,rpsT
Rv3598c,lysS
Rv3490,otsA
Rv2439c,proB
Rv1971,mce3F
Rv2447c,folC
Rv3458c,rpsD
Rv1224,tatB
Rv2746c,pgsA3
Rv3921c,Rv3921c
Rv1456c,Rv1456c
Rv2498c,citE
Rv0223c,Rv0223c
Rv0456c,echA2
Rv2195,qcrA
Rv0374c,Rv0374c
Rv0803,purL
Rv0003,recF
Rv3075c,Rv3075c
Rv1915,aceAa
Rv3496c,mce4D
Rv0815c,cysA2
Rv3043c,ctaD
Rv2540c,aroF
Rv0422c,thiD
Rvnt36,glnU
Rv3319,sdhB
Rv0889c,citA
Rv0812,Rv0812
Rv2215,dlaT
Rv0253,nirD
Rv1188,Rv1188
Rv2902c,rnhB
Rv3457c,rpoA
Rv1162,narH
Rv3101c,ftsX
Rv1493,mutB
Rv0021c,Rv0021c
Rv0157,pntB
Rv2062c,cobN
Rvnt43,argU
Rv2607,pdxH
Rv2043c,pncA
Rv2752c,Rv2752c
Rv3010c,pfkA
Rv1285,cysD
Rvnt19,leuW
Rv1538c,ansA
Rv2833c,ugpB
Rv3569c,hsaD
Rvnt09,thrV
Rv1602,hisH
Rv0632c,echA3
Rv1314c,Rv1314c
Rv3567c,hsaB
Rv2194,qcrC
Rv0016c,pbpA
Rv3316,sdhC
Rv0668,rpoC
Rv0243,fadA2
Rv3137,Rv3137
Rv1408,rpe
Rv0952,sucD
Rv0592,mce2D
Rv0170,mce1B
Rv2713,sthA
Rv0415,thiO
Rv1857,modA
Rv3804c,fbpA
Rv3146,nuoB
Rv1553,frdB
Rv3199c,nudC
Rv1018c,glmU
Rv3152,nuoH
Rv0408,pta
Rv1315,murA
Rv2454c,Rv2454c
Rv1385,pyrF
Rv2207,cobT
Rv0588,Rv0588
Rv0337c,aspC
Rv1655,argD
Rv1447c,zwf2
Rv0934,pstS1
Rv1297,rho
Rv2965c,kdtB
Rv3157,nuoM
Rv0573c,pncB2
Rv0772,purD
Rv1308,atpA
Rv3556c,fadA6
Rv1604,impA
Rv2890c,rpsB
Rv1086,Rv1086
Rvnt01,ileT
Rvnt44,serT
Rv0410c,pknG
Rv3772,hisC2
Rv1240,mdh
