BSU00010
BSU35150
BSU01240
BSU30980
BSU30830
BSU_tRNA_77
BSU38170
BSU26890
BSU18000
BSU19180
BSU01090
BSU22700
BSU01100
BSU21920
BSU21970
BSU35490
BSU_rRNA_28
BSU06170
BSU16220
BSU08240
BSU10810
BSU23480
BSU34870
BSU_tRNA_83
BSU40140
BSU33700
BSU01180
BSU12160
BSU24290
BSU29880
BSU30190
BSU02740
BSU06490
BSU11450
BSU33320
BSU31260
BSU33020
BSU14890
BSU_tRNA_18
BSU18470
BSU24470
BSU23250
BSU28540
BSU23500
BSU04640
BSU37840
BSU31680
BSU01110
BSU16680
BSU17890
BSU00110
BSU24980
BSU31230
BSU16210
BSU21770
BSU15080
BSU_tRNA_38
BSU33390
BSU27050
BSU22370
BSU23490
BSU20500
BSU32940
BSU03300
BSU36920
BSU30410
BSU16930
BSU18800
BSU14610
BSU00190
BSU33040
BSU18240
BSU17660
BSU21810
BSU07080
BSU_rRNA_15
BSU19690
BSU35410
BSU02360
BSU41060
BSU28690
BSU03930
BSU37320
BSU30560
BSU00920
BSU25260
BSU20340
BSU29680
BSU20350
BSU27860
BSU24040
BSU22830
BSU29590
BSU25500
BSU_tRNA_1
BSU12890
BSU_tRNA_5
BSU07490
BSU37070
BSU06070
BSU35430
BSU32590
BSU37500
BSU38970
BSU18830
BSU32450
BSU11870
BSU30760
BSU05860
BSU33810
BSU32520
BSU29440
BSU25070
BSU06030
BSU37110
BSU03460
BSU18340
BSU02840
BSU22230
BSU38730
BSU04620
BSU23920
BSU19200
BSU02630
BSU03820
BSU23580
BSU_tRNA_56
BSU33610
BSU28090
BSU15230
BSU07630
BSU18450
BSU_tRNA_14
BSU16270
BSU01630
BSU33010
BSU25470
BSU10250
BSU_tRNA_60
BSU02750
BSU29110
BSU01280
BSU17600
BSU00940
BSU16490
BSU13400
BSU07520
BSU32410
BSU34150
BSU35660
BSU02270
BSU28680
BSU28130
BSU32050
BSU16190
BSU_tRNA_41
BSU_tRNA_62
BSU10920
BSU07330
BSU11660
BSU16370
BSU03450
BSU14830
BSU39660
BSU10350
BSU13410
BSU22760
BSU20060
BSU03860
BSU11440
BSU22130
BSU38990
BSU19310
BSU35620
BSU37970
BSU12290
BSU01660
BSU40040
BSU_rRNA_2
BSU34670
BSU39760
BSU34460
BSU00040
BSU22480
BSU24170
BSU14860
BSU37790
BSU29470
BSU19220
BSU34070
BSU24560
BSU36370
BSU01700
BSU10910
BSU09440
BSU16040
BSU22690
BSU29370
BSU24150
BSU21870
BSU39740
BSU37720
BSU13730
BSU_rRNA_26
BSU38510
BSU25730
BSU30770
BSU35300
BSU02700
BSU22420
BSU09840
BSU16310
BSU37560
BSU32840
BSU01500
BSU35170
BSU29420
BSU03200
BSU11720
BSU19620
BSU08010
BSU35360
BSU_tRNA_7
BSU11250
BSU01270
BSU25210
BSU_tRNA_16
BSU15710
BSU30370
BSU00910
BSU12960
BSU31580
BSU12380
BSU16180
BSU_tRNA_42
BSU_tRNA_29
BSU12330
BSU22740
BSU02850
BSU24960
BSU33100
BSU01680
BSU12010
BSU16470
BSU30720
BSU18230
BSU10850
BSU31690
BSU11240
BSU17040
BSU32170
BSU15700
BSU29100
BSU27700
BSU37160
BSU03130
BSU11650
BSU37150
BSU38980
BSU31970
BSU28620
BSU_tRNA_64
BSU23380
BSU23860
BSU24030
BSU30230
BSU19190
BSU05990
BSU_tRNA_63
BSU36900
BSU29200
BSU14190
BSU37810
BSU35370
BSU18160
BSU03150
BSU00520
BSU17050
BSU34860
BSU14300
BSU13720
BSU03380
BSU_tRNA_80
BSU35010
BSU_tRNA_39
BSU02290
BSU40890
BSU11600
BSU02230
BSU36890
BSU22100
BSU01900
BSU24120
BSU02860
BSU34560
BSU22670
BSU29180
BSU10790
BSU16430
BSU36810
BSU38500
BSU23570
BSU32260
BSU00510
BSU23850
BSU27260
BSU34160
BSU07590
BSU24550
BSU24070
BSU34880
BSU32630
BSU30780
BSU16540
BSU06440
BSU03310
BSU30160
BSU30440
BSU17940
BSU_rRNA_7
BSU22640
BSU08840
BSU11200
BSU_tRNA_20
BSU03510
BSU16240
BSU40910
BSU13600
BSU11820
BSU40400
BSU30300
BSU37270
BSU07560
BSU02130
BSU10270
BSU08850
BSU30210
BSU22750
BSU11220
BSU19800
BSU27740
BSU_rRNA_4
BSU40150
BSU06460
BSU03280
BSU03180
BSU35330
BSU16750
BSU34920
BSU33380
BSU15110
BSU36830
BSU39500
BSU37660
BSU_tRNA_69
BSU36820
BSU01420
BSU38860
BSU07500
BSU_rRNA_22
BSU39670
BSU25300
BSU36590
BSU28760
BSU_tRNA_72
BSU04460
BSU02350
BSU07110
BSU34820
BSU14580
BSU29450
BSU03480
BSU38530
BSU27070
BSU30710
BSU26830
BSU11430
BSU33120
BSU34130
BSU03982
BSU40060
BSU27500
BSU35740
BSU20020
BSU29220
BSU24080
BSU03990
BSU_tRNA_9
BSU16250
BSU13170
BSU28440
BSU27280
BSU00380
BSU40410
BSU24300
BSU14670
BSU27910
BSU36760
BSU_tRNA_82
BSU27410
BSU27610
BSU27650
BSU00770
BSU22650
BSU35190
BSU03330
BSU03040
BSU_tRNA_3
BSU16530
BSU15990
BSU39920
BSU14630
BSU04010
BSU38290
BSU18360
BSU38760
BSU36860
BSU13580
BSU_tRNA_36
BSU15530
BSU30700
BSU22870
BSU12340
BSU_tRNA_4
BSU17680
BSU34140
BSU39400
BSU32510
BSU05410
BSU27620
BSU14880
BSU29670
BSU11610
BSU39370
BSU30320
BSU33940
BSU27730
BSU35670
BSU40440
BSU01200
BSU02510
BSU38480
BSU14310
BSU00990
BSU40900
BSU22680
BSU29560
BSU18440
BSU17380
BSU08820
BSU31290
BSU22070
BSU24570
BSU13590
BSU37690
BSU02090
BSU30270
BSU25580
BSU03910
BSU_tRNA_37
BSU14390
BSU28630
BSU27870
BSU23270
BSU02980
BSU01020
BSU31750
BSU10490
BSU16330
BSU25660
BSU32550
BSU00310
BSU22410
BSU09230
BSU38750
BSU_tRNA_26
BSU_tRNA_75
BSU02470
BSU_tRNA_76
BSU13550
BSU35950
BSU13110
BSU15560
BSU36010
BSU27850
BSU39860
BSU27060
BSU37490
BSU38020
BSU38200
BSU33300
BSU24850
BSU35400
BSU32800
BSU37280
BSU41040
BSU07120
BSU22540
BSU16100
BSU00700
BSU_tRNA_21
BSU35920
BSU05960
BSU00090
BSU34550
BSU10930
BSU27160
BSU08180
BSU06530
BSU_tRNA_25
BSU07710
BSU27480
BSU_tRNA_30
BSU_tRNA_70
BSU15620
BSU17640
BSU03600
BSU15160
BSU28290
BSU32530
BSU35960
BSU06450
BSU34930
BSU13680
BSU24310
BSU01350
BSU29010
BSU32490
BSU28120
BSU_tRNA_59
BSU08425
BSU36660
BSU05420
BSU01300
BSU27900
BSU28450
BSU32480
BSU24130
BSU28390
BSU03340
BSU33180
BSU05830
BSU37680
BSU01400
BSU39270
BSU36870
BSU27510
BSU25280
BSU24950
BSU30970
BSU17330
BSU_rRNA_20
BSU12910
BSU39610
BSU_rRNA_18
BSU23070
BSU01250
BSU13530
BSU28750
BSU30390
BSU16230
BSU29230
BSU_tRNA_65
BSU03500
BSU34680
BSU34900
BSU22710
BSU07800
BSU00760
BSU37240
BSU_tRNA_28
BSU02440
BSU29020
BSU39490
BSU12020
BSU33450
BSU34450
BSU15490
BSU_tRNA_78
BSU_rRNA_8
BSU00740
BSU01430
BSU37250
BSU06960
BSU24190
BSU01230
BSU15190
BSU40860
BSU01610
BSU31180
BSU36800
BSU14520
BSU19360
BSU15340
BSU18670
BSU30550
BSU30740
BSU24220
BSU30670
BSU01490
BSU00210
BSU16870
BSU16320
BSU32600
BSU_misc_RNA_2
BSU32690
BSU30960
BSU03830
BSU_tRNA_35
BSU01050
BSU32030
BSU01210
BSU32290
BSU28910
BSU28860
BSU30860
BSU00680
BSU32110
BSU22630
BSU11340
BSU39630
BSU16280
BSU_rRNA_19
BSU_tRNA_58
BSU24900
BSU39540
BSU21820
BSU01360
BSU35020
BSU37730
BSU34950
