Dsec_GM24381
Dsec_GM13011
Dsec_GM17972
Dsec_GM25470
Dsec_GM22278
Dsec_GM21077
Dsec_GM15202
Dsec_GM14525
Dsec_GM15511
Dsec_GM18768
Dsec_GM12408
Dsec_GM18318
Dsec_GM21783
Dsec_GM23921
Dsec_GM12766
tRNA-Ile
Dsec_GM21721
Dsec_GM21135
Dsec_GM17558
Dsec_GM12354
Dsec_GM21991
Dsec_GM26589
Dsec_GM24501
Dsec_GM22829
Dsec_GM22857
Dsec_GM16065
Dsec_GM15387
Dsec_GM21409
Dsec_GM18707
Dsec_GM22742
Dsec_GM14947
Dsec_GM14515
Dsec_GM25238
Dsec_GM18196
Dsec_GM16250
Dsec_GM14356
Dsec_GM12106
Dsec_GM17213
Dsec_GM13033
Dsec_GM14478
Dsec_GM25792
Dsec_GM17317
Dsec_GM22477
Dsec_GM16396
Dsec_GM23310
Dsec_GM18930
Dsec_GM25874
Dsec_GM11400
Dsec_GM12554
Dsec_GM26735
Dsec_GM17670
Dsec_GM21511
Dsec_GM14948
Dsec_GM17090
Dsec_GM25006
Dsec_GM20786
Dsec_GM20289
Dsec_GM22423
Dsec_GM26513
Dsec_GM20603
Dsec_GM26778
Dsec_GM10267
Dsec_GM15801
Dsec_GM12949
Dsec_GM22381
Dsec_GM14419
Dsec_GM17976
Dsec_GM15285
Dsec_GM14898
Dsec_GM24380
Dsec_GM25499
Dsec_GM12300
Dsec_GM22449
Dsec_GM16689
Dsec_GM22525
Dsec_GM26361
Dsec_GM21823
Dsec_GM13104
Dsec_GM26732
Dsec_GM22106
Dsec_GM18581
Dsec_GM10265
Dsec_GM22392
Dsec_GM11986
Dsec_GM21408
Dsec_GM26010
Dsec_GM19829
Dsec_GM12191
Dsec_GM23823
Dsec_GM26156
Dsec_GM18910
Dsec_GM15656
tRNA-Val
Dsec_GM24041
Dsec_GM23834
Dsec_GM25544
Dsec_GM20540
Dsec_GM23917
Dsec_GM12931
Dsec_GM11101
Dsec_GM26166
Dsec_GM10893
Dsec_GM12779
Dsec_GM16415
Dsec_GM17552
Dsec_GM21241
Dsec_GM26527
Dsec_GM22285
Dsec_GM10855
Dsec_GM18300
Dsec_GM21664
Dsec_GM14993
Dsec_GM14027
Dsec_GM23525
Dsec_GM15964
Dsec_GM16421
Dsec_GM12328
Dsec_GM18294
Dsec_GM22790
Dsec_GM15548
Dsec_GM25453
Dsec_GM11736
Dsec_GM12545
Dsec_GM19238
Dsec_GM25439
Dsec_GM15118
Dsec_GM19267
Dsec_GM12704
Dsec_GM24889
Dsec_GM12266
Dsec_GM23703
Dsec_GM20082
Dsec_GM15790
Dsec_GM11211
Dsec_GM26890
Dsec_GM16990
Dsec_GM10691
Dsec_GM12488
Dsec_GM18887
Dsec_GM23275
Dsec_GM17114
Dsec_GM14349
Dsec_GM18452
Dsec_GM20062
Dsec_GM13889
Dsec_GM24672
Dsec_GM21706
Dsec_GM15358
Dsec_GM13419
Dsec_GM22866
Dsec_GM22437
Dsec_GM21738
Dsec_GM15797
Dsec_GM13436
Dsec_GM15426
Dsec_GM15583
Dsec_GM25643
ND1
Dsec_GM24222
Dsec_GM27706
Dsec_GM17027
Dsec_GM19908
Dsec_GM11620
Dsec_GM15069
Dsec_GM24021
Dsec_GM12345
Dsec_GM19073
Dsec_GM19109
Dsec_GM19207
Dsec_GM11456
Dsec_GM15828
Dsec_GM23616
Dsec_GM25568
Dsec_GM15328
Dsec_GM21411
Dsec_GM24693
Dsec_GM11122
Dsec_GM15222
Dsec_GM10765
Dsec_GM23784
Dsec_GM20499
Dsec_GM18184
Dsec_GM25273
Dsec_GM18471
Dsec_GM22521
Dsec_GM20348
Dsec_GM20440
Dsec_GM16480
Dsec_GM16558
Dsec_GM19618
Dsec_GM19174
Dsec_GM15240
Dsec_GM26256
Dsec_GM13817
Dsec_GM23162
Dsec_GM23727
Dsec_GM13805
Dsec_GM14723
Dsec_GM25956
Dsec_GM25942
Dsec_GM24206
Dsec_GM20724
Dsec_GM23194
Dsec_GM12821
Dsec_GM16091
Dsec_GM22557
Dsec_GM20204
Dsec_GM15313
Dsec_GM23121
Dsec_GM20482
Dsec_GM12038
Dsec_GM24628
Dsec_GM20994
Dsec_GM12179
Dsec_GM13282
Dsec_GM12261
Dsec_GM18437
Dsec_GM18174
Dsec_GM24147
Dsec_GM12402
Dsec_GM17636
Dsec_GM15700
Dsec_GM26044
Dsec_GM15565
Dsec_GM18744
Dsec_GM25555
Dsec_GM22686
Dsec_GM10723
Dsec_GM16326
Dsec_GM11198
Dsec_GM14012
Dsec_GM11288
Dsec_GM26216
Dsec_GM23969
Dsec_GM17439
Dsec_GM12470
ND3
Dsec_GM26484
Dsec_GM13065
Dsec_GM12153
Dsec_GM25721
Dsec_GM18996
Dsec_GM12088
Dsec_GM17973
Dsec_GM21481
Dsec_GM23290
Dsec_GM25823
Dsec_GM24644
Dsec_GM12804
Dsec_GM21106
Dsec_GM14637
Dsec_GM16033
Dsec_GM11803
Dsec_GM17107
Dsec_GM11794
Dsec_GM20940
Dsec_GM24670
Dsec_GM25665
Dsec_GM15849
Dsec_GM16944
Dsec_GM18185
Dsec_GM15002
Dsec_GM11907
ND4
Dsec_GM18003
Dsec_GM13020
Dsec_GM22478
Dsec_GM10127
Dsec_GM22763
Dsec_GM20090
Dsec_GM21874
Dsec_GM18527
Dsec_GM26013
Dsec_GM21883
Dsec_GM12577
Dsec_GM15083
Dsec_GM10061
Dsec_GM12581
Dsec_GM20223
Dsec_GM11825
Dsec_GM14038
Dsec_GM19268
Dsec_GM11356
Dsec_GM15572
Dsec_GM18205
Dsec_GM15107
Dsec_GM17444
Dsec_GM23352
Dsec_GM19200
Dsec_GM12288
Dsec_GM10816
Dsec_GM19030
Dsec_GM16729
Dsec_GM16739
Dsec_GM17278
Dsec_GM13666
Dsec_GM10890
Dsec_GM25677
Dsec_GM12955
Dsec_GM21691
Dsec_GM11985
Dsec_GM23526
Dsec_GM20566
Dsec_GM20048
Dsec_GM21668
Dsec_GM24903
Dsec_GM19270
Dsec_GM26458
Dsec_GM14942
Dsec_GM11137
Dsec_GM10731
Dsec_GM12273
Dsec_GM25590
Dsec_GM14197
Dsec_GM18972
Dsec_GM24438
Dsec_GM20979
Dsec_GM11457
Dsec_GM10821
Dsec_GM26187
Dsec_GM22454
