Gene ID	Gene Symbol	
100856903	LOC100856903	
100283416	cl549_1b	
100286134	LOC100286134	
100502545	LOC100502545	
103637559	LOC103637559	
100282500	LOC100282500	
100282738	LOC100282738	
100274408	LOC100274408	
100273082	arpp40	
103627433	LOC103627433	
100217114	TIDP2761	
103642014	LOC103642014	
100273578	LOC100273578	
100278971	LOC100278971	
100384476	IDP2562	
100856948	LOC100856948	
1466374	rps12	
103646942	LOC103646942	
100282107	LOC100282107	
100191610	TIDP3561	
100192787	cl5577_1a	
100382471	LOC100382471	
100282306	LOC100282306	
845186	ndhG	
103633180	LOC103633180	
542414	glu1	
100279808	pco088319	
100279348	LOC100279348	
100284024	LOC100284024	
732740	pco067871	
100281477	LOC100281477	
100284016	LOC100284016	
542228	cl1856_2(520)	
103644311	LOC103644311	
103653497	LOC103653497	
103652012	LOC103652012	
845274	trnT	
100037821	yuc	
100281989	LOC100281989	
100383103	LOC100383103	
100502082	LOC100502082	
100037751	LOC100037751	
100277744	LOC100277744	
100191257	pco137346	
100192868	LOC100192868	
100126965	IDP22	
103651195	LOC103651195	
100275036	LOC100275036	
103639862	LOC103639862	
103633084	LOC103633084	
542219	mgp2	
542221	cl122_1	
100272951	TIDP3692	
103631114	LOC103631114	
103643026	LOC103643026	
103642738	LOC103642738	
100273126	LOC100273126	
100282946	gpm447	
103636664	LOC103636664	
100192699	LOC100192699	
542702	PLD1	
103650682	LOC103650682	
100383412	LOC100383412	
100381984	LOC100381984	
103632562	LOC103632562	
100274698	gpm617	
100281221	LOC100281221	
100381436	cl277_1	
100285723	AY110160	
100280445	GH3	
100192839	cl7385_1	
100280604	LOC100280604	
100275430	si687081f02	
541881	czog1	
100144301	LOC100144301	
100194360	LOC100194360	
100280064	pco136522	
100502442	LOC100502442	
103633258	LOC103633258	
103640353	LOC103640353	
103647558	LOC103647558	
100286189	LOC100286189	
100285862	LOC100285862	
100283105	LOC100283105	
100279270	TIDP2980	
100283098	LOC100283098	
100285967	LOC100285967	
100193804	LOC100193804	
101061019	CK3	
100284207	LOC100284207	
103627804	LOC103627804	
100286144	LOC100286144	
100383164	pco067553	
100272445	LOC100272445	
100284998	LOC100284998	
100285014	LOC100285014	
100284485	LOC100284485	
103649398	LOC103649398	
100285146	pco061445a	
100382989	LOC100382989	
103635691	LOC103635691	
541632	gpm91	
100381695	LOC100381695	
103644763	LOC103644763	
732747	LOC732747	
100285771	pco096443	
100280298	LOC100280298	
100279295	LOC100279295	
100383105	LOC100383105	
100285843	umc2374	
100283613	LOC100283613	
103630055	LOC103630055	
100191496	gpm318	
100281738	LOC100281738	
100282032	LOC100282032	
100272730	LOC100272730	
100284318	cl20712_1(629)	
100280305	cl627_1	
732733	opr6	
541974	tps1	
100279524	LOC100279524	
103636111	LOC103636111	
103634565	LOC103634565	
100273118	LOC100273118	
100383542	LOC100383542	
103646366	LOC103646366	
103626494	LOC103626494	
100284457	LOC100284457	
100279726	LOC100279726	
103638883	LOC103638883	
100285720	LOC100285720	
100274064	LOC100274064	
100284022	LOC100284022	
100273945	LOC100273945	
542520	GLN6	
103649263	LOC103649263	
100857056	LOC100857056	
103626591	LOC103626591	
100037796	LOC100037796	
100283637	LOC100283637	
100281932	pco068483	
100280768	pco069350a	
100191607	gpm217b	
103634742	LOC103634742	
100856972	LOC100856972	
100285452	LOC100285452	
103647227	LOC103647227	
103640763	LOC103640763	
542732	crt2	
100193614	LOC100193614	
100285457	LOC100285457	
542727	eps1	
100280289	pco109407	
103636016	LOC103636016	
103651223	LOC103651223	
845229	rps14	
103633519	LOC103633519	
100284902	LOC100284902	
100283053	LOC100283053	
100216900	LOC100216900	
100303896	IDP483	
100281812	LOC100281812	
100285543	LOC100285543	
542258	pal3	
103649140	LOC103649140	
103653823	LOC103653823	
542449	rps21b	
103648286	LOC103648286	
100282027	LOC100282027	
103627631	LOC103627631	
100286178	pco147657	
100282141	LOC100282141	
103639292	LOC103639292	
103628558	LOC103628558	
100194071	LOC100194071	
103628268	LOC103628268	
103647285	LOC103647285	
100158231	IPT1	
100281391	LOC100281391	
100501585	LOC100501585	
100283803	LOC100283803	
103649419	LOC103649419	
103631982	LOC103631982	
100272426	LOC100272426	
103646106	LOC103646106	
100272992	LOC100272992	
100274218	pco097024a	
100191211	bZIP92	
100279805	uaz204	
103645842	LOC103645842	
103627479	LOC103627479	
103647599	LOC103647599	
100194209	LOC100194209	
100281242	adk1	
100381666	PP2C12	
103650065	LOC103650065	
100191555	pco107093	
100281033	LOC100281033	
542558	L-FNRI	
100192912	LOC100192912	
103634086	LOC103634086	
103648775	LOC103648775	
103637109	LOC103637109	
103627973	LOC103627973	
103654554	LOC103654554	
103655102	LOC103655102	
103625865	LOC103625865	
100284555	LOC100284555	
100281505	LOC100281505	
103629838	LOC103629838	
100274092	LOC100274092	
103642112	LOC103642112	
100217045	LOC100217045	
100273221	LOC100273221	
103626198	LOC103626198	
100383062	LOC100383062	
100274311	pco061337	
100856906	LOC100856906	
732776	pco064579	
100383938	LOC100383938	
103636271	LOC103636271	
100192526	TIDP2760	
103638337	LOC103638337	
100281817	LOC100281817	
103650090	LOC103650090	
100191548	LOC100191548	
542212	ssu1	
732780	LOC732780	
100284454	LOC100284454	
100285166	LOC100285166	
100193844	LOC100193844	
100272320	LOC100272320	
103631148	LOC103631148	
542380	TIDP2849	
100274437	pco129366(222)	
100283325	pco113532	
100501579	LOC100501579	
100381281	LOC100381281	
100272438	SC30	
100216704	LOC100216704	
541841	gst30	
103631311	LOC103631311	
103635987	LOC103635987	
100274394	LOC100274394	
103650843	LOC103650843	
100284093	pco072227	
100280802	LOC100280802	
103650978	LOC103650978	
103647628	LOC103647628	
103646963	LOC103646963	
100275424	LOC100275424	
103645805	LOC103645805	
100272732	LOC100272732	
100284700	pco142662	
103632959	LOC103632959	
100285194	LOC100285194	
100282626	LOC100282626	
100282772	TIDP2739	
103644011	LOC103644011	
542089	sdg118	
100381427	LOC100381427	
100279229	cl39265_1(736)	
100273485	LOC100273485	
100278319	LOC100278319	
542590	mn1	
101027166	LOC101027166	
542151	aoc1	
100191603	pco077065	
100284365	LOC100284365	
103647734	LOC103647734	
100216792	LOC100216792	
100282479	LOC100282479	
100275595	LOC100275595	
100383381	LOC100383381	
103653169	LOC103653169	
100286059	pco074093	
101027179	LOC101027179	
100282677	LOC100282677	
103650231	LOC103650231	
103632470	LOC103632470	
100382888	si683027d02(142)	
542046	prpl35-1	
100285552	LOC100285552	
100282040	LOC100282040	
103632256	LOC103632256	
100285832	LOC100285832	
100282028	LOC100282028	
100283907	LOC100283907	
100216894	LOC100216894	
100191738	LOC100191738	
100192743	pco098395(621)	
103645969	LOC103645969	
845208	psbK	
542400	gln2	
541703	umc1721	
100273583	LOC100273583	
100193220	mis1	
103651996	LOC103651996	
100196928	hsp82	
103653944	LOC103653944	
100191278	LOC100191278	
100125646	comt	
100284546	LOC100284546	
100191807	LOC100191807	
100192845	LOC100192845	
103629724	LOC103629724	
103646464	LOC103646464	
732821	PPP2R5B	
100191335	fcr1	
100856889	LOC100856889	
103653520	LOC103653520	
103636390	LOC103636390	
100280807	LOC100280807	
103626043	LOC103626043	
100273905	pco092896	
103631917	LOC103631917	
103634467	LOC103634467	
100194375	pco144592a	
103647877	LOC103647877	
103646651	LOC103646651	
103629593	LOC103629593	
100285019	srp31	
100280890	LOC100280890	
100274559	LOC100274559	
100216870	LOC100216870	
542626	LOC542626	
732761	HK1a2	
100283911	gpm841	
100193891	LOC100193891	
100273593	gpm120	
542117	bx1	
100126943	IDP527	
100283456	pco121857a	
100282316	LOC100282316	
100381522	pco094517	
100382191	LOC100382191	
103632918	LOC103632918	
100283983	pco129593	
100192568	LOC100192568	
100192963	LOC100192963	
100284505	csu309(atpc)	
100384557	LOC100384557	
103649476	LOC103649476	
100283212	LOC100283212	
100283881	pco069725	
100501283	LOC100501283	
542716	lhcb5	
103635211	LOC103635211	
103633899	LOC103633899	
100127527	ZCN18	
100279573	cts1	
100277273	LOC100277273	
100193254	tap1	
542364	adh2	
103628077	LOC103628077	
103641097	LOC103641097	
100382459	LOC100382459	
100274317	bx9	
100037774	TIDP3317	
103647946	LOC103647946	
103632933	LOC103632933	
100216698	LOC100216698	
100281091	LOC100281091	
103634262	LOC103634262	
100285108	LOC100285108	
